ADM_CD,total_all_2023,solo_all_2023,total_20_2023,solo_20_2023,total_25_2023,solo_25_2023,total_30_2023,solo_30_2023,total_35_2023,solo_35_2023,solo_20s_2023,solo_30s_2023,solo_all_ratio,solo_20s_ratio,solo_30s_ratio,네일숍_2023,미용실_2023,분식전문점_2023,애완동물_2023,한식음식점_2023,양식음식점_2023,일식음식점_2023,중식음식점_2023,치킨전문점_2023,커피-음료_2023,패스트푸드점_2023,제과점_2023,편의점_2023,호프-간이주점_2023,지가변동률_2023,지가_2023,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적,월평균소득_2023,총상주인구_2023,20대상주인구_2023,30대상주인구_2023,총직장인구_2023,20대직장인구_2023,30대직장인구_2023,슈퍼마켓_2023,20대매출건수_네일숍_2023,20대매출건수_미용실_2023,20대매출건수_분식전문점_2023,20대매출건수_애완동물_2023,20대매출건수_양식음식점_2023,20대매출건수_일식음식점_2023,20대매출건수_제과점_2023,20대매출건수_중식음식점_2023,20대매출건수_치킨전문점_2023,20대매출건수_커피-음료_2023,20대매출건수_패스트푸드점_2023,20대매출건수_편의점_2023,20대매출건수_한식음식점_2023,20대매출건수_호프-간이주점_2023,20대매출금액_네일숍_2023,20대매출금액_미용실_2023,20대매출금액_분식전문점_2023,20대매출금액_애완동물_2023,20대매출금액_양식음식점_2023,20대매출금액_일식음식점_2023,20대매출금액_제과점_2023,20대매출금액_중식음식점_2023,20대매출금액_치킨전문점_2023,20대매출금액_커피-음료_2023,20대매출금액_패스트푸드점_2023,20대매출금액_편의점_2023,20대매출금액_한식음식점_2023,20대매출금액_호프-간이주점_2023,30대매출건수_네일숍_2023,30대매출건수_미용실_2023,30대매출건수_분식전문점_2023,30대매출건수_애완동물_2023,30대매출건수_양식음식점_2023,30대매출건수_일식음식점_2023,30대매출건수_제과점_2023,30대매출건수_중식음식점_2023,30대매출건수_치킨전문점_2023,30대매출건수_커피-음료_2023,30대매출건수_패스트푸드점_2023,30대매출건수_편의점_2023,30대매출건수_한식음식점_2023,30대매출건수_호프-간이주점_2023,30대매출금액_네일숍_2023,30대매출금액_미용실_2023,30대매출금액_분식전문점_2023,30대매출금액_애완동물_2023,30대매출금액_양식음식점_2023,30대매출금액_일식음식점_2023,30대매출금액_제과점_2023,30대매출금액_중식음식점_2023,30대매출금액_치킨전문점_2023,30대매출금액_커피-음료_2023,30대매출금액_패스트푸드점_2023,30대매출금액_편의점_2023,30대매출금액_한식음식점_2023,30대매출금액_호프-간이주점_2023,총매출건수_네일숍_2023,총매출건수_미용실_2023,총매출건수_분식전문점_2023,총매출건수_애완동물_2023,총매출건수_양식음식점_2023,총매출건수_일식음식점_2023,총매출건수_제과점_2023,총매출건수_중식음식점_2023,총매출건수_치킨전문점_2023,총매출건수_커피-음료_2023,총매출건수_패스트푸드점_2023,총매출건수_편의점_2023,총매출건수_한식음식점_2023,총매출건수_호프-간이주점_2023,총매출금액_네일숍_2023,총매출금액_미용실_2023,총매출금액_분식전문점_2023,총매출금액_애완동물_2023,총매출금액_양식음식점_2023,총매출금액_일식음식점_2023,총매출금액_제과점_2023,총매출금액_중식음식점_2023,총매출금액_치킨전문점_2023,총매출금액_커피-음료_2023,총매출금액_패스트푸드점_2023,총매출금액_편의점_2023,총매출금액_한식음식점_2023,총매출금액_호프-간이주점_2023
11010530,7845.0,1869.0,583.0,172.0,686.0,241.0,778.0,222.0,757.0,230.0,206.5,226.0,23.82409177820268,11.04868913857678,12.0920278223649,13.0,32.0,124.0,8.0,414.0,182.0,58.0,31.0,7.0,16.0,9.0,19.0,11.0,7.0,7.902166666666667,98.97316666666669,4994,56046,21,0,0,0,0.0,0.0,1.23,5007768.0,8486.0,786.0,1169.0,47822.0,6303.0,13536.0,0.0,55.0,671.0,54121.0,0.0,14610.0,14444.0,15016.0,6631.0,1996.0,275877.0,16110.0,181359.0,108456.0,10325.0,791992.0,24809618.0,691884582.0,0.0,608165268.0,566064849.0,147151304.0,196258043.0,86249875.0,2550874701.0,158691285.0,796290433.0,3486557187.0,563397044.0,401.0,2087.0,78298.0,0.0,24286.0,20046.0,21033.0,12767.0,3726.0,378987.0,21972.0,284564.0,188656.0,13222.0,13464040.0,96629643.0,989093438.0,0.0,1229846874.0,920339983.0,229217462.0,449588146.0,172651425.0,3432295742.0,229069878.0,1520146565.0,6208295454.0,782526843.0,730.0,7621.0,293793.0,0.0,86209.0,85183.0,98124.0,58184.0,13419.0,1192532.0,73576.0,892970.0,860864.0,51024.0,24690021.0,389467735.0,3873407647.0,0.0,5351867817.0,5112116728.0,1203469660.0,2749772808.0,673323360.0,11873456152.0,902523398.0,5084404902.0,36606440193.0,3245160419.0
11010540,2370.0,800.0,143.0,68.0,172.0,85.0,193.0,92.0,211.0,91.0,76.5,91.5,33.755274261603375,9.5625,11.4375,2.0,0.0,17.0,0.0,73.0,85.0,7.0,4.0,0.0,10.0,1.0,2.0,1.0,0.0,7.840571428571429,99.05785714285716,970,5118,3,0,0,0,0.0,0.0,1.49,3442534.0,2597.0,258.0,281.0,5862.0,726.0,1549.0,0.0,0.0,0.0,40747.0,0.0,12398.0,100.0,20330.0,0.0,0.0,120613.0,1555.0,23070.0,32494.0,1334.0,0.0,0.0,413771617.0,0.0,630996681.0,3591465.0,263496187.0,0.0,0.0,1590096392.0,38685569.0,103718939.0,905766596.0,72923660.0,0.0,0.0,45329.0,0.0,17260.0,134.0,23537.0,0.0,0.0,122042.0,1375.0,29389.0,46478.0,1084.0,0.0,0.0,507228302.0,0.0,1108913188.0,4127504.0,311218619.0,0.0,0.0,1629979489.0,35952900.0,154605213.0,1443628669.0,79959733.0,0.0,0.0,143469.0,0.0,61878.0,677.0,86172.0,0.0,0.0,441567.0,4511.0,102640.0,214801.0,3543.0,0.0,0.0,1558647449.0,0.0,4447327037.0,24416601.0,1178687744.0,0.0,0.0,6900190348.0,111870248.0,532407291.0,7375948354.0,247653549.0
11010550,9116.0,1549.0,1147.0,213.0,841.0,154.0,711.0,187.0,652.0,152.0,183.5,169.5,16.992101799034664,11.8463524854745,10.942543576500968,0.0,10.0,14.0,7.0,38.0,37.0,5.0,4.0,0.0,5.0,3.0,7.0,4.0,0.0,8.004000000000001,98.822,908,4140,1,0,0,0,1.0,0.0,2.27,3647449.0,9744.0,1267.0,1225.0,4115.0,695.0,1179.0,0.0,0.0,128.0,3496.0,0.0,1101.0,0.0,2501.0,183.0,0.0,18286.0,1968.0,39204.0,7442.0,155.0,0.0,4116690.0,31436525.0,0.0,53005758.0,0.0,35394270.0,4970852.0,0.0,126812849.0,18812853.0,186400740.0,87104589.0,9009126.0,0.0,168.0,1343.0,0.0,1630.0,0.0,4456.0,232.0,0.0,6974.0,3133.0,25668.0,2675.0,65.0,0.0,3682586.0,14217882.0,0.0,95654666.0,0.0,71234906.0,6953790.0,0.0,119399488.0,52918353.0,180427286.0,73962525.0,3433333.0,0.0,1794.0,11720.0,0.0,6574.0,0.0,18056.0,2004.0,0.0,46653.0,10874.0,136851.0,26759.0,428.0,0.0,58268168.0,140571465.0,0.0,376915714.0,0.0,314056176.0,56149012.0,0.0,477612514.0,189999970.0,897834485.0,758758391.0,22954243.0
11010560,15369.0,1617.0,1269.0,136.0,1173.0,123.0,1172.0,143.0,1075.0,121.0,129.5,132.0,10.521178996681632,8.008658008658008,8.16326530612245,2.0,16.0,14.0,3.0,55.0,18.0,6.0,3.0,0.0,1.0,3.0,4.0,3.0,1.0,8.009,98.655,1286,4294,2,0,0,0,0.0,0.0,8.87,4504006.0,17852.0,2297.0,2227.0,23179.0,2878.0,6197.0,0.0,0.0,26.0,1196.0,0.0,123.0,6.0,2737.0,530.0,0.0,6640.0,2560.0,6280.0,2141.0,434.0,0.0,396930.0,10555746.0,0.0,2476101.0,153166.0,19844653.0,16027895.0,0.0,74894831.0,29158410.0,33311292.0,61561577.0,23268035.0,0.0,19.0,2474.0,0.0,472.0,97.0,4745.0,1286.0,0.0,9788.0,3595.0,9982.0,4537.0,516.0,0.0,431829.0,23740444.0,0.0,7480603.0,2690969.0,43164075.0,36582613.0,0.0,237637876.0,43624657.0,83721325.0,216436454.0,47260049.0,0.0,1166.0,18196.0,0.0,2272.0,534.0,34932.0,9046.0,0.0,53226.0,23025.0,51898.0,45967.0,3021.0,0.0,166418499.0,198193166.0,0.0,74169361.0,12212490.0,346370900.0,251720847.0,0.0,963395513.0,284394280.0,396273860.0,2456528000.0,287270634.0
11030740,18463.0,5314.0,1138.0,442.0,1823.0,743.0,2384.0,881.0,2035.0,703.0,592.5,792.0,28.78188810052538,11.149792999623635,14.904027098231088,12.0,46.0,26.0,12.0,202.0,217.0,47.0,22.0,4.0,18.0,10.0,25.0,11.0,7.0,10.155,98.676,3213,20440,11,0,0,0,0.0,0.0,3.01,4381088.0,19536.0,1460.0,3328.0,41934.0,6886.0,12388.0,3.0,0.0,2356.0,21316.0,0.0,56442.0,4396.0,4030.0,7917.0,4230.0,106328.0,5440.0,195805.0,79405.0,13738.0,0.0,203976797.0,333648647.0,0.0,2482713323.0,287214478.0,56397014.0,384124761.0,142444751.0,1333136646.0,111174176.0,1008876956.0,3960242649.0,703902307.0,68.0,3427.0,29827.0,0.0,50192.0,5684.0,7039.0,7928.0,7156.0,105317.0,5839.0,237574.0,104740.0,17289.0,15116150.0,257276487.0,462202685.0,0.0,3279764795.0,544564088.0,117186528.0,434736755.0,274166516.0,1249752992.0,104723007.0,1443812317.0,5883681290.0,1329930460.0,399.0,13572.0,102098.0,0.0,162270.0,19716.0,28279.0,31048.0,23472.0,329507.0,21330.0,727037.0,388662.0,46257.0,62936163.0,1191945298.0,1652268426.0,0.0,11190197378.0,1989825020.0,528633727.0,1512627089.0,910011062.0,4049662529.0,415945610.0,4542987288.0,21302599880.0,3918752437.0
11040520,13212.0,2301.0,1150.0,263.0,1258.0,311.0,1325.0,273.0,1252.0,229.0,287.0,251.0,17.415985467756585,12.47283789656671,10.908300738809212,16.0,62.0,11.0,17.0,69.0,16.0,11.0,7.0,3.0,1.0,4.0,10.0,11.0,4.0,6.840000000000002,99.62,1212,2807,-,0,0,0,0.0,0.0,0.41,3474994.0,16917.0,1846.0,2582.0,1259.0,175.0,319.0,0.0,16.0,1400.0,197.0,0.0,0.0,515.0,5271.0,613.0,842.0,4201.0,1297.0,17245.0,9114.0,371.0,266149.0,43204434.0,1351014.0,0.0,0.0,14644966.0,48379137.0,20223772.0,19101152.0,23979641.0,15250752.0,87558538.0,347847592.0,34480152.0,60.0,1564.0,170.0,0.0,0.0,1032.0,6079.0,1220.0,862.0,3359.0,1433.0,17206.0,9972.0,685.0,8004966.0,60920833.0,1397601.0,0.0,0.0,21841541.0,65639593.0,48450550.0,17678438.0,23066070.0,17029168.0,113107156.0,407854902.0,55742528.0,144.0,11188.0,678.0,0.0,0.0,2303.0,28697.0,6947.0,4536.0,12349.0,5699.0,62911.0,61261.0,2076.0,13409853.0,365474065.0,5915569.0,0.0,0.0,64948479.0,321527093.0,330946282.0,116926135.0,85254791.0,70829422.0,422418082.0,2229681957.0,141773411.0
11040540,20118.0,3908.0,2127.0,706.0,2224.0,757.0,2006.0,470.0,1626.0,343.0,731.5,406.5,19.425390197832787,18.71801432958035,10.401740020470829,3.0,27.0,10.0,5.0,103.0,9.0,3.0,6.0,3.0,3.0,3.0,3.0,7.0,1.0,6.2940000000000005,99.426,4037,12989,4,0,0,0,0.0,0.0,1.05,3021967.0,22343.0,2721.0,3815.0,7683.0,651.0,1345.0,0.0,0.0,639.0,3103.0,0.0,0.0,0.0,2121.0,774.0,1251.0,13691.0,418.0,70760.0,15057.0,328.0,0.0,21061687.0,25757542.0,0.0,0.0,0.0,19932419.0,12711498.0,37291680.0,102490594.0,7920346.0,418653685.0,714464958.0,15338281.0,0.0,975.0,4900.0,0.0,0.0,0.0,4584.0,1426.0,1518.0,17303.0,469.0,89586.0,29141.0,801.0,0.0,31292620.0,41635184.0,0.0,0.0,0.0,42360291.0,33168242.0,50444509.0,138835924.0,10908396.0,680907115.0,1987670493.0,39381851.0,0.0,5898.0,22278.0,0.0,0.0,0.0,21578.0,11375.0,8172.0,58399.0,2424.0,313123.0,233125.0,3509.0,0.0,186724094.0,253113679.0,0.0,0.0,0.0,233143347.0,295140028.0,252169164.0,499648629.0,86998880.0,2329380981.0,11479672959.0,150508156.0
11020680,7168.0,1279.0,458.0,83.0,610.0,123.0,730.0,139.0,760.0,122.0,103.0,130.5,17.843191964285715,8.05316653635653,10.203283815480845,4.0,22.0,23.0,3.0,87.0,19.0,8.0,6.0,3.0,4.0,0.0,8.0,8.0,3.0,7.490750000000002,99.18575,1279,7764,2,0,0,0,0.0,0.0,0.48,4435938.0,8328.0,764.0,1160.0,4348.0,913.0,1392.0,0.0,6.0,301.0,2845.0,0.0,1209.0,53.0,133.0,900.0,656.0,16043.0,0.0,41257.0,20672.0,536.0,120361.0,14373932.0,39084052.0,0.0,67852262.0,640142.0,993312.0,14608978.0,17080388.0,97901116.0,0.0,221133498.0,569461912.0,34351306.0,0.0,637.0,5000.0,0.0,1589.0,144.0,289.0,1634.0,1754.0,27258.0,0.0,56388.0,39159.0,1033.0,0.0,31777364.0,78245713.0,0.0,114520873.0,1691123.0,3239495.0,39991517.0,32108295.0,189866880.0,0.0,339021785.0,1451183537.0,58076223.0,48.0,3528.0,24926.0,0.0,4724.0,860.0,907.0,7782.0,6744.0,91255.0,0.0,195334.0,183013.0,3543.0,1323972.0,161507141.0,419562922.0,0.0,331794299.0,19978188.0,14641069.0,214541149.0,182659732.0,708415767.0,0.0,1185955034.0,7174730190.0,230371137.0
11040730,17995.0,2257.0,1200.0,97.0,1527.0,138.0,2238.0,302.0,2193.0,267.0,117.5,284.5,12.54237288135593,5.206025697828977,12.60522817899867,9.0,29.0,9.0,9.0,47.0,17.0,7.0,3.0,2.0,3.0,2.0,10.0,7.0,0.0,5.140000000000001,99.832,1380,4807,2,0,0,0,0.0,0.0,1.94,4836487.0,23133.0,1902.0,3462.0,4791.0,1224.0,1430.0,0.0,0.0,582.0,2284.0,0.0,813.0,52.0,295.0,0.0,573.0,5244.0,183.0,87370.0,1553.0,390.0,0.0,28343414.0,20285981.0,0.0,66819455.0,2311571.0,3137207.0,0.0,16744483.0,40038157.0,4160720.0,584883014.0,62497477.0,17204219.0,0.0,1839.0,5978.0,0.0,1813.0,160.0,1055.0,0.0,1335.0,11521.0,678.0,178495.0,5020.0,1093.0,0.0,134428368.0,59933166.0,0.0,150093296.0,11627868.0,10702773.0,0.0,49667679.0,80873320.0,14967426.0,1600272847.0,198738658.0,48838733.0,0.0,8287.0,22959.0,0.0,5625.0,1211.0,4789.0,0.0,6801.0,33676.0,2835.0,617190.0,23678.0,2304.0,0.0,479021495.0,260599422.0,0.0,382717100.0,83932770.0,52073975.0,0.0,253131390.0,252046808.0,77566910.0,5490881876.0,972983313.0,119408250.0
11020580,5650.0,2314.0,1138.0,645.0,939.0,491.0,602.0,291.0,421.0,194.0,568.0,242.5,40.95575221238938,24.546240276577358,10.479688850475368,1.0,7.0,14.0,1.0,76.0,33.0,9.0,6.0,0.0,5.0,0.0,10.0,8.0,3.0,6.666999999999999,99.641,991,7975,1,0,0,0,0.0,0.0,1.36,2895026.0,4951.0,677.0,1143.0,10396.0,2383.0,2853.0,0.0,0.0,83.0,1458.0,0.0,7096.0,3768.0,7689.0,1586.0,0.0,16094.0,933.0,80777.0,13609.0,714.0,0.0,1007064.0,18251187.0,0.0,139175515.0,91968566.0,81100429.0,30383732.0,0.0,150768588.0,35881861.0,479873288.0,388503712.0,35170579.0,0.0,96.0,1403.0,0.0,5520.0,2952.0,8821.0,2834.0,0.0,15694.0,914.0,63299.0,19570.0,717.0,0.0,971091.0,19517229.0,0.0,147266927.0,72825747.0,133826857.0,59564944.0,0.0,197341188.0,39575124.0,459972470.0,716460485.0,49841267.0,0.0,1929.0,6327.0,0.0,25907.0,12129.0,42809.0,12914.0,0.0,63865.0,3748.0,227466.0,117066.0,3294.0,0.0,164496800.0,109073698.0,0.0,669453905.0,387477537.0,696123494.0,382306844.0,0.0,1102056553.0,171602692.0,1515282226.0,5458486470.0,217548838.0
