ADM_CD,사업체수_2022,종사자수_2022,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,교육 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업, 협회 및 단체 수리 및 기타 개인 서비스업,면적,금융기관_2022,금융기관_2023,유통업체수_2022,대형마트,백화점,전문점,쇼핑센터,복합쇼핑몰,그밖의 대규모점포,유통업체수_대형마트외,주택수_2020,단독주택수,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대주택,비거주용건물내주택,대학교,기타대학
11010720.0,1469,5433,0,0,145,4,0,148,680,144,770,234,67,127,576,131,314,698,392,661,342,2.57,3,2,0,0,0,0,0,0,0,0,4134,1279,834,306,139,260,787,1750,58,0.0,1.0
11010530.0,4994,56046,17,1,393,27,15,557,3022,2979,3797,3301,7942,3524,9216,8585,7800,812,1556,1579,923,1.23,23,21,0,0,0,0,0,0,0,0,2778,650,467,108,75,1591,78,411,48,0.0,0.0
11010540.0,970,5118,0,0,124,0,0,63,853,76,908,167,64,145,521,139,1237,273,53,233,262,1.49,3,3,0,0,0,0,0,0,0,0,730,644,414,134,96,0,19,37,30,0.0,0.0
11010550.0,908,4140,0,0,89,0,0,63,535,38,360,145,13,75,183,52,60,1247,210,72,998,2.27,1,1,0,0,0,0,0,0,0,0,3070,1033,750,214,69,121,903,976,37,1.0,0.0
11010560.0,1286,4294,0,6,164,0,1,161,804,136,445,184,63,199,246,153,105,664,524,202,237,8.87,2,2,0,0,0,0,0,0,0,0,5958,1553,1088,314,151,1009,2186,1139,71,0.0,0.0
11010570.0,837,1987,0,0,8,0,0,59,152,483,115,23,23,103,27,20,20,155,549,26,224,0.36,1,1,0,0,0,0,0,0,0,0,2860,48,14,9,25,2703,55,46,8,0.0,0.0
11010580.0,561,13335,0,0,21,1,0,6876,956,67,429,79,123,124,164,18,34,210,4007,66,160,0.35,2,2,0,0,0,0,0,0,0,0,3917,237,100,112,25,2526,88,1060,6,0.0,1.0
11010600.0,977,15449,0,0,116,1,0,9475,472,58,1110,1306,110,95,910,124,526,721,84,180,161,0.54,4,4,0,0,0,0,0,0,0,0,1601,731,556,105,70,0,137,719,14,0.0,0.0
11010610.0,17095,106826,1,84,4748,638,17,8968,18266,2967,9551,9071,11923,3564,14802,8945,4968,2731,2069,1096,2417,2.35,42,41,7,0,0,2,0,0,5,7,1652,514,319,75,120,959,28,48,103,1.0,0.0
11010630.0,7545,21261,0,0,2618,5,0,335,9460,356,1725,1485,1130,599,1356,329,342,213,474,132,702,0.6,7,7,3,0,0,0,0,0,3,3,1319,730,324,273,133,220,76,137,156,0.0,0.0
