ADM_CD,행정동코드,시군구,행정동1,행정동2,key1,key2
11010720.0,1111051500,종로구,청운효자동,청운효자동,종로구 청운효자동,종로구 청운효자동
11010530.0,1111053000,종로구,사직동,사직동,종로구 사직동,종로구 사직동
11010540.0,1111054000,종로구,삼청동,삼청동,종로구 삼청동,종로구 삼청동
11010550.0,1111055000,종로구,부암동,부암동,종로구 부암동,종로구 부암동
11010560.0,1111056000,종로구,평창동,평창동,종로구 평창동,종로구 평창동
11010570.0,1111057000,종로구,무악동,무악동,종로구 무악동,종로구 무악동
11010580.0,1111058000,종로구,교남동,교남동,종로구 교남동,종로구 교남동
11010600.0,1111060000,종로구,가회동,가회동,종로구 가회동,종로구 가회동
11010610.0,1111061500,종로구,종로1234가동,종로1234가동,종로구 종로1234가동,종로구 종로1234가동
11010630.0,1111063000,종로구,종로56가동,종로56가동,종로구 종로56가동,종로구 종로56가동
11010640.0,1111064000,종로구,이화동,이화동,종로구 이화동,종로구 이화동
11010730.0,1111065000,종로구,혜화동,혜화동,종로구 혜화동,종로구 혜화동
11010670.0,1111067000,종로구,창신1동,창신제1동,종로구 창신1동,종로구 창신제1동
11010680.0,1111068000,종로구,창신2동,창신제2동,종로구 창신2동,종로구 창신제2동
11010690.0,1111069000,종로구,창신3동,창신제3동,종로구 창신3동,종로구 창신제3동
11010700.0,1111070000,종로구,숭인1동,숭인제1동,종로구 숭인1동,종로구 숭인제1동
11010710.0,1111071000,종로구,숭인2동,숭인제2동,종로구 숭인2동,종로구 숭인제2동
11020520.0,1114052000,중구,소공동,소공동,중구 소공동,중구 소공동
11020540.0,1114054000,중구,회현동,회현동,중구 회현동,중구 회현동
11020550.0,1114055000,중구,명동,명동,중구 명동,중구 명동
11020570.0,1114057000,중구,필동,필동,중구 필동,중구 필동
11020580.0,1114058000,중구,장충동,장충동,중구 장충동,중구 장충동
11020590.0,1114059000,중구,광희동,광희동,중구 광희동,중구 광희동
11020600.0,1114060500,중구,을지로동,을지로동,중구 을지로동,중구 을지로동
11020690.0,1114061500,중구,신당동,신당동,중구 신당동,중구 신당동
11020700.0,1114062500,중구,다산동,다산동,중구 다산동,중구 다산동
11020710.0,1114063500,중구,약수동,약수동,중구 약수동,중구 약수동
11020720.0,1114064500,중구,청구동,청구동,중구 청구동,중구 청구동
11020650.0,1114065000,중구,신당5동,신당제5동,중구 신당5동,중구 신당제5동
11020730.0,1114066500,중구,동화동,동화동,중구 동화동,중구 동화동
11020670.0,1114067000,중구,황학동,황학동,중구 황학동,중구 황학동
11020680.0,1114068000,중구,중림동,중림동,중구 중림동,중구 중림동
11030510.0,1117051000,용산구,후암동,후암동,용산구 후암동,용산구 후암동
11030520.0,1117052000,용산구,용산2가동,용산2가동,용산구 용산2가동,용산구 용산2가동
11030530.0,1117053000,용산구,남영동,남영동,용산구 남영동,용산구 남영동
11030710.0,1117055500,용산구,청파동,청파동,용산구 청파동,용산구 청파동
11030720.0,1117056000,용산구,원효로1동,원효로제1동,용산구 원효로1동,용산구 원효로제1동
11030570.0,1117057000,용산구,원효로2동,원효로제2동,용산구 원효로2동,용산구 원효로제2동
11030580.0,1117058000,용산구,효창동,효창동,용산구 효창동,용산구 효창동
11030590.0,1117059000,용산구,용문동,용문동,용산구 용문동,용산구 용문동
11030730.0,1117062500,용산구,한강로동,한강로동,용산구 한강로동,용산구 한강로동
11030630.0,1117063000,용산구,이촌1동,이촌제1동,용산구 이촌1동,용산구 이촌제1동
11030640.0,1117064000,용산구,이촌2동,이촌제2동,용산구 이촌2동,용산구 이촌제2동
11030650.0,1117065000,용산구,이태원1동,이태원제1동,용산구 이태원1동,용산구 이태원제1동
