ADM_CD,행정동코드,법정동코드,시군구,행정동1,행정동2,법정동1,법정동2,key1,key2
11010720.0,1111051500,1111010100,종로구,청운효자동,청운효자동,청운동,청운동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111010200,종로구,청운효자동,청운효자동,신교동,신교동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111010300,종로구,청운효자동,청운효자동,궁정동,궁정동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111010400,종로구,청운효자동,청운효자동,효자동,효자동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111010500,종로구,청운효자동,청운효자동,창성동,창성동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111010800,종로구,청운효자동,청운효자동,통인동,통인동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111010900,종로구,청운효자동,청운효자동,누상동,누상동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111011000,종로구,청운효자동,청운효자동,누하동,누하동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111011100,종로구,청운효자동,청운효자동,옥인동,옥인동,종로구 청운효자동,종로구 청운효자동
11010720.0,1111051500,1111011900,종로구,청운효자동,청운효자동,세종로,세종로,종로구 청운효자동,종로구 청운효자동
11010530.0,1111053000,1111010600,종로구,사직동,사직동,통의동,통의동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111010700,종로구,사직동,사직동,적선동,적선동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111011200,종로구,사직동,사직동,체부동,체부동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111011300,종로구,사직동,사직동,필운동,필운동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111011400,종로구,사직동,사직동,내자동,내자동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111011500,종로구,사직동,사직동,사직동,사직동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111011600,종로구,사직동,사직동,도렴동,도렴동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111011700,종로구,사직동,사직동,당주동,당주동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111011800,종로구,사직동,사직동,내수동,내수동,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111011900,종로구,사직동,사직동,세종로,세종로,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111012000,종로구,사직동,사직동,신문로1가,신문로1가,종로구 사직동,종로구 사직동
11010530.0,1111053000,1111012100,종로구,사직동,사직동,신문로2가,신문로2가,종로구 사직동,종로구 사직동
11010540.0,1111054000,1111013900,종로구,삼청동,삼청동,팔판동,팔판동,종로구 삼청동,종로구 삼청동
11010540.0,1111054000,1111014000,종로구,삼청동,삼청동,삼청동,삼청동,종로구 삼청동,종로구 삼청동
11010540.0,1111054000,1111014100,종로구,삼청동,삼청동,안국동,안국동,종로구 삼청동,종로구 삼청동
11010540.0,1111054000,1111014200,종로구,삼청동,삼청동,소격동,소격동,종로구 삼청동,종로구 삼청동
11010540.0,1111054000,1111014300,종로구,삼청동,삼청동,화동,화동,종로구 삼청동,종로구 삼청동
11010540.0,1111054000,1111014400,종로구,삼청동,삼청동,사간동,사간동,종로구 삼청동,종로구 삼청동
11010540.0,1111054000,1111014500,종로구,삼청동,삼청동,송현동,송현동,종로구 삼청동,종로구 삼청동
11010550.0,1111055000,1111018400,종로구,부암동,부암동,부암동,부암동,종로구 부암동,종로구 부암동
11010550.0,1111055000,1111018500,종로구,부암동,부암동,홍지동,홍지동,종로구 부암동,종로구 부암동
11010550.0,1111055000,1111018600,종로구,부암동,부암동,신영동,신영동,종로구 부암동,종로구 부암동
11010560.0,1111056000,1111018200,종로구,평창동,평창동,구기동,구기동,종로구 평창동,종로구 평창동
11010560.0,1111056000,1111018300,종로구,평창동,평창동,평창동,평창동,종로구 평창동,종로구 평창동
11010570.0,1111057000,1111018700,종로구,무악동,무악동,무악동,무악동,종로구 무악동,종로구 무악동
11010580.0,1111058000,1111017600,종로구,교남동,교남동,교남동,교남동,종로구 교남동,종로구 교남동
11010580.0,1111058000,1111017700,종로구,교남동,교남동,평동,평동,종로구 교남동,종로구 교남동
11010580.0,1111058000,1111017800,종로구,교남동,교남동,송월동,송월동,종로구 교남동,종로구 교남동
11010580.0,1111058000,1111017900,종로구,교남동,교남동,홍파동,홍파동,종로구 교남동,종로구 교남동
11010580.0,1111058000,1111018000,종로구,교남동,교남동,교북동,교북동,종로구 교남동,종로구 교남동
11010580.0,1111058000,1111018100,종로구,교남동,교남동,행촌동,행촌동,종로구 교남동,종로구 교남동
11010600.0,1111060000,1111014600,종로구,가회동,가회동,가회동,가회동,종로구 가회동,종로구 가회동
11010600.0,1111060000,1111014700,종로구,가회동,가회동,재동,재동,종로구 가회동,종로구 가회동
11010600.0,1111060000,1111014800,종로구,가회동,가회동,계동,계동,종로구 가회동,종로구 가회동
11010600.0,1111060000,1111014900,종로구,가회동,가회동,원서동,원서동,종로구 가회동,종로구 가회동
11010610.0,1111061500,1111011900,종로구,종로1234가동,종로1234가동,세종로,세종로,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111012200,종로구,종로1234가동,종로1234가동,청진동,청진동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111012300,종로구,종로1234가동,종로1234가동,서린동,서린동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111012400,종로구,종로1234가동,종로1234가동,수송동,수송동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111012500,종로구,종로1234가동,종로1234가동,중학동,중학동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111012600,종로구,종로1234가동,종로1234가동,종로1가,종로1가,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111012700,종로구,종로1234가동,종로1234가동,공평동,공평동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111012800,종로구,종로1234가동,종로1234가동,관훈동,관훈동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111012900,종로구,종로1234가동,종로1234가동,견지동,견지동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013000,종로구,종로1234가동,종로1234가동,와룡동,와룡동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013100,종로구,종로1234가동,종로1234가동,권농동,권농동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013200,종로구,종로1234가동,종로1234가동,운니동,운니동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013300,종로구,종로1234가동,종로1234가동,익선동,익선동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013400,종로구,종로1234가동,종로1234가동,경운동,경운동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013500,종로구,종로1234가동,종로1234가동,관철동,관철동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013600,종로구,종로1234가동,종로1234가동,인사동,인사동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013700,종로구,종로1234가동,종로1234가동,낙원동,낙원동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111013800,종로구,종로1234가동,종로1234가동,종로2가,종로2가,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015000,종로구,종로1234가동,종로1234가동,훈정동,훈정동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015100,종로구,종로1234가동,종로1234가동,묘동,묘동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015200,종로구,종로1234가동,종로1234가동,봉익동,봉익동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015300,종로구,종로1234가동,종로1234가동,돈의동,돈의동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015400,종로구,종로1234가동,종로1234가동,장사동,장사동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015500,종로구,종로1234가동,종로1234가동,관수동,관수동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015600,종로구,종로1234가동,종로1234가동,종로3가,종로3가,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015700,종로구,종로1234가동,종로1234가동,인의동,인의동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015800,종로구,종로1234가동,종로1234가동,예지동,예지동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111015900,종로구,종로1234가동,종로1234가동,원남동,원남동,종로구 종로1234가동,종로구 종로1234가동
11010610.0,1111061500,1111016100,종로구,종로1234가동,종로1234가동,종로4가,종로4가,종로구 종로1234가동,종로구 종로1234가동
