행정동코드,total_all_202310,solo_all_202310,total_20_202310,solo_20_202310,total_25_202310,solo_25_202310,total_30_202310,solo_30_202310,total_35_202310,solo_35_202310,total_40_202310,solo_40_202310,total_45_202310,solo_45_202310,total_50_202310,solo_50_202310,total_55_202310,solo_55_202310,total_60_202310,solo_60_202310,total_65_202310,solo_65_202310,total_70_202310,solo_70_202310,total_75_202310,solo_75_202310,자치구,행정동명
1101053,7920,1997,575,184,695,243,763,255,749,228,818,199,765,182,720,112,728,117,559,95,470,89,384,71,694,222,종로구,사직동
1101054,2501,868,258,129,174,89,189,86,207,90,195,62,223,64,242,63,255,68,206,51,169,41,131,29,252,96,종로구,삼청동
1101055,9161,1563,1132,214,853,153,698,176,644,150,884,111,955,114,916,87,836,83,642,69,501,112,376,86,724,208,종로구,부암동
1101056,15484,1634,1253,137,1189,121,1152,135,1063,116,1459,111,1675,123,1782,124,1608,115,1188,91,890,84,823,79,1402,398,종로구,평창동
1101057,6391,807,454,43,432,48,447,61,548,75,821,57,740,50,715,67,623,60,449,48,377,76,287,60,498,162,종로구,무악동
1101058,4663,809,292,41,330,50,342,58,411,63,492,64,437,56,567,75,400,53,395,57,348,79,243,55,406,158,종로구,교남동
1101060,4007,1165,251,87,317,123,377,146,359,133,429,106,424,108,364,68,341,64,331,67,277,78,159,46,378,139,종로구,가회동
1101061,7000,3449,547,363,673,445,578,314,512,260,624,312,565,273,676,264,788,328,668,282,483,198,356,152,530,258,종로구,종로1234가동
1101063,5074,2221,584,383,505,345,404,228,323,170,394,143,462,164,527,136,517,142,395,110,332,141,256,114,375,145,종로구,종로56가동
1101064,8373,3001,1145,484,1405,607,990,485,650,300,668,159,649,151,676,129,591,119,492,99,359,147,332,141,416,180,종로구,이화동
1101067,6006,1673,421,83,572,137,516,178,420,149,524,132,632,154,765,165,693,137,495,121,390,165,257,119,321,133,종로구,창신1동
1101068,10007,1955,833,96,985,130,798,180,694,141,902,153,1184,197,1252,215,1095,189,761,139,560,168,383,114,560,233,종로구,창신2동
1101069,6344,1008,563,74,579,90,571,106,506,87,622,94,687,95,698,79,678,76,464,55,337,79,251,59,388,114,종로구,창신3동
1101070,6054,1482,503,100,538,121,617,214,520,170,610,116,611,111,642,113,583,99,460,88,343,93,254,70,373,187,종로구,숭인1동
1101071,8889,3423,758,440,1059,636,988,490,730,338,723,212,791,230,881,177,835,184,713,150,517,191,378,141,516,234,종로구,숭인2동
1101072,10835,1739,832,135,846,153,985,237,1092,234,1275,145,1206,136,1043,100,869,82,705,67,594,98,470,80,918,272,종로구,청운효자동
1101073,18940,7165,3738,2486,3393,2211,1832,649,1321,427,1420,236,1367,220,1312,135,1190,136,892,99,745,103,510,70,1220,393,종로구,혜화동
1102052,1667,757,53,29,154,94,198,103,184,88,194,76,204,83,182,80,140,61,133,63,107,40,59,21,59,19,중구,소공동
1102054,4657,1366,215,61,390,117,351,148,356,134,354,129,422,156,534,102,634,132,495,107,352,109,228,77,326,94,중구,회현동
1102055,3376,1373,208,139,316,207,289,152,265,137,350,138,338,131,374,104,344,99,308,93,219,66,163,51,202,56,중구,명동
1102057,4409,1872,727,393,609,312,439,200,303,130,291,122,320,127,322,98,410,123,304,100,204,79,219,85,261,103,중구,필동
1102058,5765,2509,1199,713,960,549,588,306,413,208,407,121,401,113,362,87,395,100,303,75,243,65,174,50,320,122,중구,장충동
1102059,5295,2130,427,239,591,335,540,278,391,187,415,169,392,155,537,127,595,155,518,137,347,137,229,97,313,114,중구,광희동
1102060,1808,1109,80,60,200,163,234,160,197,128,172,106,121,71,160,75,202,99,177,86,122,86,59,43,84,32,중구,을지로동
1102065,8608,2083,672,200,702,230,804,252,848,237,854,184,924,196,894,160,844,147,609,115,504,109,412,85,541,168,중구,신당5동
1102067,11139,3419,762,363,1233,606,1405,510,1159,378,996,264,967,256,1055,178,1036,188,869,161,659,161,416,100,582,254,중구,황학동
1102068,7212,1321,451,87,618,129,717,128,750,125,687,107,639,98,666,80,731,91,557,75,478,95,331,66,587,240,중구,중림동
1102069,12325,4510,697,317,877,399,1486,671,1553,662,1930,748,1403,532,1333,275,975,209,823,185,533,210,317,120,398,182,중구,신당동
1102070,13124,2660,1122,328,1310,394,1473,394,1154,279,1233,184,1243,177,1192,143,1230,145,946,116,761,128,544,84,916,288,중구,다산동
1102071,15441,2644,1029,148,1221,199,1477,217,1459,190,1506,194,1340,167,1481,187,1573,191,1257,181,1020,229,759,178,1319,563,중구,약수동
1102072,12570,2160,972,172,1121,211,1312,226,1126,175,1226,154,1154,142,1210,127,1215,136,898,110,739,195,591,153,1006,359,중구,청구동
1102073,9127,1022,790,71,736,74,801,107,845,108,969,97,920,88,997,66,934,64,676,50,490,76,352,55,617,166,중구,동화동
1103051,15151,3176,1181,227,1407,319,1585,440,1447,368,1539,276,1540,278,1487,219,1341,216,1051,179,861,175,737,148,975,331,용산구,후암동
1103052,10620,2718,704,247,1122,423,1369,490,1000,325,1000,195,904,168,870,133,1001,154,770,129,641,126,483,100,756,228,용산구,용산2가동
1103053,6954,2886,403,222,599,332,635,323,503,238,612,231,734,270,793,226,762,244,668,222,454,227,299,155,492,196,용산구,남영동
1103057,11903,1760,890,129,811,139,1172,222,1184,203,1360,142,1280,130,1245,120,1090,106,833,86,677,114,497,81,864,288,용산구,원효로2동
1103058,7704,1214,664,123,636,144,731,162,750,149,831,89,821,85,746,80,699,70,488,55,404,72,369,68,565,117,용산구,효창동
1103059,10054,1655,701,151,803,193,1065,201,1044,179,1102,128,977,109,934,102,953,105,725,85,623,117,448,77,679,208,용산구,용문동
1103063,19571,1556,1115,41,1195,52,1630,77,2192,91,2672,158,2344,136,1874,78,1718,74,1245,56,1020,123,868,98,1698,572,용산구,이촌1동
1103064,7592,1170,457,67,569,99,802,135,718,109,717,118,626,103,729,64,805,72,668,59,510,57,389,44,602,243,용산구,이촌2동
1103065,6939,2333,465,198,790,352,811,340,735,296,604,201,594,193,598,118,606,118,513,107,373,104,313,85,537,221,용산구,이태원1동
1103066,8743,2510,528,208,902,381,1107,413,927,311,878,230,705,175,688,100,774,108,611,86,502,109,335,67,786,322,용산구,이태원2동
1103069,10634,1538,830,124,714,119,767,160,903,169,1292,122,1373,127,1239,82,871,60,669,53,560,103,500,92,916,327,용산구,서빙고동
1103070,14366,4164,1141,318,1443,466,1482,573,1289,466,1361,329,1431,332,1446,304,1324,284,972,225,874,238,567,157,1036,472,용산구,보광동
1103071,18805,6078,2586,1311,2301,1163,1956,792,1533,572,1647,393,1693,387,1665,251,1467,231,1116,173,943,252,764,217,1134,336,용산구,청파동
1103072,11341,2435,841,259,1203,409,1553,417,1389,331,1174,223,978,176,985,103,982,105,707,78,582,96,411,70,536,168,용산구,원효로1동
1103073,14003,3890,1190,348,1266,407,1648,780,1491,672,1331,419,1040,317,1230,143,1327,157,1051,128,847,113,618,84,964,322,용산구,한강로동
1103074,18634,5405,1124,431,1855,765,2353,865,2014,699,1774,495,1674,449,1697,294,1691,311,1331,256,1065,220,781,161,1275,459,용산구,한남동
1104052,13289,2353,1136,266,1276,322,1302,262,1237,224,1398,216,1352,206,1350,141,1251,136,983,111,749,111,532,84,723,274,성동구,왕십리2동
1104054,20241,4039,2101,728,2256,798,1973,472,1607,338,1806,222,1938,233,1998,182,1876,182,1487,148,1137,164,784,124,1278,448,성동구,마장동
1104055,13627,5861,3371,2219,2954,1915,1295,549,805,310,817,142,801,131,796,95,750,94,564,75,514,101,345,60,615,170,성동구,사근동
1104056,11972,2263,1237,336,1380,387,1152,234,1079,197,1067,153,1070,148,1165,119,1118,110,839,91,654,130,478,96,733,262,성동구,행당1동
1104057,19783,2031,1418,65,1388,74,2010,187,2349,192,2590,170,2107,129,1838,143,1742,142,1297,120,1073,188,755,130,1216,491,성동구,행당2동
1104058,12812,1302,852,61,847,66,1197,140,1438,151,1686,132,1432,109,1213,90,1037,84,886,71,758,95,559,65,907,238,성동구,응봉동
1104059,10858,1556,758,56,768,69,1032,153,1071,144,1128,122,1157,123,1033,119,1101,138,850,114,670,132,499,96,791,290,성동구,금호1가동
