시군구,읍면동,지가_2022,지가_2023,지가_2024,key
종로구,청운동,97.302,99.274,100.186,종로구 청운동
종로구,신교동,97.302,99.274,100.186,종로구 신교동
종로구,궁정동,97.302,99.274,100.186,종로구 궁정동
종로구,효자동,96.129,98.861,100.175,종로구 효자동
종로구,창성동,96.129,98.861,100.175,종로구 창성동
종로구,통의동,96.147,98.695,100.206,종로구 통의동
종로구,적선동,96.906,99.028,100.208,종로구 적선동
종로구,통인동,96.494,98.639,100.174,종로구 통인동
종로구,누상동,96.494,98.639,100.174,종로구 누상동
종로구,누하동,96.494,98.639,100.174,종로구 누하동
종로구,옥인동,96.494,98.639,100.174,종로구 옥인동
종로구,체부동,96.147,98.695,100.206,종로구 체부동
종로구,필운동,96.906,99.028,100.208,종로구 필운동
종로구,내자동,96.906,99.028,100.208,종로구 내자동
종로구,사직동,96.906,99.028,100.208,종로구 사직동
종로구,도렴동,96.304,98.951,100.138,종로구 도렴동
종로구,당주동,96.304,98.951,100.138,종로구 당주동
종로구,내수동,96.304,98.951,100.138,종로구 내수동
종로구,세종로,96.129,98.861,100.175,종로구 세종로
종로구,신문로1가,96.628,99.231,100.18,종로구 신문로1가
종로구,신문로2가,96.628,99.231,100.18,종로구 신문로2가
종로구,청진동,96.228,99.07,100.152,종로구 청진동
종로구,서린동,96.228,99.07,100.152,종로구 서린동
종로구,수송동,96.757,99.16,100.137,종로구 수송동
종로구,중학동,96.757,99.16,100.137,종로구 중학동
종로구,종로1가,96.228,99.07,100.152,종로구 종로1가
종로구,공평동,96.228,99.07,100.152,종로구 공평동
종로구,관훈동,96.757,99.16,100.137,종로구 관훈동
종로구,견지동,96.757,99.16,100.137,종로구 견지동
종로구,와룡동,97.305,99.419,100.138,종로구 와룡동
종로구,권농동,97.305,99.419,100.138,종로구 권농동
종로구,운니동,96.732,99.246,100.161,종로구 운니동
종로구,익선동,96.732,99.246,100.161,종로구 익선동
종로구,경운동,96.732,99.246,100.161,종로구 경운동
종로구,관철동,95.607,98.589,100.234,종로구 관철동
종로구,인사동,96.82,99.289,100.1,종로구 인사동
종로구,낙원동,96.82,99.289,100.1,종로구 낙원동
종로구,종로2가,95.727,98.663,100.195,종로구 종로2가
종로구,팔판동,95.622,98.631,100.192,종로구 팔판동
종로구,삼청동,95.622,98.631,100.192,종로구 삼청동
종로구,안국동,97.091,99.378,100.09,종로구 안국동
종로구,소격동,97.091,99.378,100.09,종로구 소격동
종로구,화동,95.622,98.631,100.192,종로구 화동
종로구,사간동,97.091,99.378,100.09,종로구 사간동
종로구,송현동,97.091,99.378,100.09,종로구 송현동
종로구,가회동,96.575,98.986,100.184,종로구 가회동
종로구,재동,96.575,98.986,100.184,종로구 재동
종로구,계동,96.575,98.986,100.184,종로구 계동
종로구,원서동,96.575,98.986,100.184,종로구 원서동
종로구,훈정동,97.305,99.419,100.138,종로구 훈정동
종로구,묘동,96.701,99.289,100.139,종로구 묘동
종로구,봉익동,96.701,99.289,100.139,종로구 봉익동
종로구,돈의동,96.82,99.289,100.1,종로구 돈의동
종로구,장사동,95.607,98.589,100.234,종로구 장사동
종로구,관수동,95.607,98.589,100.234,종로구 관수동
종로구,종로3가,95.727,98.663,100.195,종로구 종로3가
종로구,인의동,96.615,99.204,100.135,종로구 인의동
종로구,예지동,95.607,98.589,100.234,종로구 예지동
종로구,원남동,96.615,99.204,100.135,종로구 원남동
종로구,연지동,96.753,99.158,100.111,종로구 연지동
종로구,종로4가,95.727,98.663,100.195,종로구 종로4가
종로구,효제동,96.753,99.158,100.111,종로구 효제동
종로구,종로5가,95.674,98.672,100.218,종로구 종로5가
종로구,종로6가,95.674,98.672,100.218,종로구 종로6가
종로구,이화동,97.672,99.586,100.075,종로구 이화동
종로구,연건동,97.672,99.586,100.075,종로구 연건동
종로구,충신동,96.753,99.158,100.111,종로구 충신동
종로구,동숭동,97.672,99.586,100.075,종로구 동숭동
종로구,혜화동,97.442,99.39,100.123,종로구 혜화동
종로구,명륜1가,97.52,99.216,100.107,종로구 명륜1가
종로구,명륜2가,97.52,99.216,100.107,종로구 명륜2가
종로구,명륜4가,97.52,99.216,100.107,종로구 명륜4가
종로구,명륜3가,97.52,99.216,100.107,종로구 명륜3가
종로구,창신동,95.806,98.723,100.145,종로구 창신동
종로구,숭인동,96.973,99.263,100.131,종로구 숭인동
종로구,교남동,96.721,99.137,100.111,종로구 교남동
종로구,평동,96.721,99.137,100.111,종로구 평동
