ADM_CD,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적
11010720.0,1469,5433,2,0,0,0,0.0,1.0,2.57
11010530.0,4994,56046,21,0,0,0,0.0,0.0,1.23
11010540.0,970,5118,3,0,0,0,0.0,0.0,1.49
11010550.0,908,4140,1,0,0,0,1.0,0.0,2.27
11010560.0,1286,4294,2,0,0,0,0.0,0.0,8.87
11010570.0,837,1987,1,0,0,0,0.0,0.0,0.36
11010580.0,561,13335,2,0,0,0,0.0,1.0,0.35
11010600.0,977,15449,4,0,0,0,0.0,0.0,0.54
11010610.0,17095,106826,41,7,0,7,1.0,0.0,2.35
11010630.0,7545,21261,7,3,0,3,0.0,0.0,0.6
11010640.0,1669,18939,4,0,0,0,1.0,1.0,0.78
11010730.0,2289,8833,5,0,0,0,0.0,0.0,1.12
11010670.0,2518,5506,7,1,0,1,0.0,0.0,0.31
11010680.0,1045,2021,1,0,0,0,0.0,0.0,0.26
11010690.0,430,1265,-,1,0,1,0.0,0.0,0.23
11010700.0,727,1824,-,0,0,0,0.0,0.0,0.23
11010710.0,2275,6126,2,1,0,1,0.0,0.0,0.35
11020520.0,5127,66316,32,3,0,3,0.0,0.0,0.95
11020540.0,8865,48722,18,9,1,8,0.0,0.0,0.84
11020550.0,8484,108491,53,6,0,6,0.0,0.0,0.99
11020570.0,3567,25108,9,0,0,0,1.0,1.0,1.14
11020580.0,991,7975,1,0,0,0,0.0,0.0,1.36
11020590.0,9123,34882,15,12,0,12,0.0,0.0,0.74
11020600.0,9223,31496,10,3,0,3,0.0,0.0,0.6
11020690.0,11453,22982,5,16,0,16,0.0,0.0,0.55
11020700.0,2107,8722,3,0,0,0,0.0,0.0,0.51
11020710.0,1289,4696,2,2,0,2,0.0,0.0,0.48
11020720.0,1295,5076,-,0,0,0,0.0,0.0,0.34
11020650.0,1571,3965,3,0,0,0,0.0,0.0,0.39
11020730.0,1325,4359,1,0,0,0,0.0,0.0,0.26
11020670.0,2444,5594,4,3,1,2,0.0,0.0,0.33
11020680.0,1279,7764,2,0,0,0,0.0,0.0,0.48
11030510.0,1310,4578,1,0,0,0,0.0,0.0,0.86
11030520.0,789,2100,-,0,0,0,0.0,0.0,1.96
11030530.0,2055,18037,5,0,0,0,0.0,0.0,1.19
11030710.0,2231,10066,2,0,0,0,1.0,0.0,0.9
11030720.0,2425,10190,2,0,0,0,0.0,0.0,0.59
11030570.0,1540,5985,3,1,0,1,0.0,0.0,0.71
11030580.0,699,2350,-,0,0,0,0.0,0.0,0.44
11030590.0,886,1962,0,0,0,0,0.0,0.0,0.28
11030730.0,6171,53485,17,12,2,10,0.0,0.0,2.9
11030630.0,1419,3885,7,0,0,0,0.0,0.0,2.86
11030640.0,567,1212,-,0,0,0,0.0,0.0,1.22
11030650.0,1843,6863,5,1,0,1,0.0,0.0,0.57
11030660.0,1097,3159,3,0,0,0,0.0,0.0,0.86
11030740.0,3213,20440,11,0,0,0,0.0,0.0,3.01
11030690.0,743,5396,1,1,0,1,0.0,0.0,2.8
11030700.0,1059,2143,1,0,0,0,0.0,1.0,0.71
11040520.0,1212,2807,-,0,0,0,0.0,0.0,0.41
11040710.0,3308,11097,3,1,0,1,0.0,0.0,0.72
11040540.0,4037,12989,4,0,0,0,0.0,0.0,1.05
11040550.0,1273,11318,2,0,0,0,1.0,1.0,1.1
