ADM_CD,total_all_2022,solo_all_2022,total_20_2022,solo_20_2022,total_25_2022,solo_25_2022,total_30_2022,solo_30_2022,total_35_2022,solo_35_2022,solo_20s_2022,solo_30s_2022,solo_all_ratio,solo_20s_ratio,solo_30s_ratio
11010530,7848.0,1854.0,582.0,183.0,687.0,220.0,779.0,244.0,758.0,205.0,201.5,224.5,23.623853211009173,10.86839266450917,12.108953613807982
11010540,2384.0,831.0,156.0,78.0,172.0,90.0,193.0,90.0,211.0,99.0,84.0,94.5,34.85738255033557,10.108303249097473,11.371841155234657
11010550,9116.0,1530.0,1147.0,201.0,841.0,154.0,711.0,181.0,652.0,154.0,177.5,167.5,16.783677051338305,11.601307189542483,10.947712418300654
11010560,15369.0,1604.0,1269.0,132.0,1173.0,127.0,1172.0,144.0,1075.0,117.0,129.5,130.5,10.43659314203917,8.073566084788029,8.135910224438902
11030740,18531.0,5332.0,1138.0,439.0,1829.0,748.0,2393.0,897.0,2037.0,707.0,593.5,802.0,28.77340672386811,11.130907726931733,15.04126031507877
11040520,13219.0,2198.0,1150.0,248.0,1258.0,294.0,1325.0,267.0,1252.0,218.0,271.0,242.5,16.627581511460775,12.329390354868062,11.032757051865332
11040540,20118.0,3873.0,2127.0,684.0,2224.0,770.0,2006.0,468.0,1626.0,338.0,727.0,403.0,19.2514166418133,18.7709785695843,10.405370513813581
11020680,7166.0,1250.0,458.0,81.0,610.0,129.0,730.0,130.0,760.0,119.0,105.0,124.5,17.443483114708343,8.4,9.959999999999999
11040730,18002.0,2259.0,1204.0,105.0,1530.0,139.0,2238.0,300.0,2193.0,271.0,122.0,285.5,12.548605710476613,5.400619743249226,12.63833554670208
11020580,5751.0,2333.0,1189.0,641.0,970.0,515.0,589.0,288.0,423.0,178.0,578.0,233.0,40.56685793774996,24.774967852550365,9.987141020145735
11020590,5095.0,2048.0,385.0,211.0,584.0,328.0,494.0,249.0,376.0,211.0,269.5,230.0,40.196270853778216,13.1591796875,11.23046875
11040550,13562.0,6208.0,3470.0,2398.0,2919.0,2024.0,1334.0,594.0,780.0,337.0,2211.0,465.5,45.77495944550951,35.615335051546396,7.498389175257731
11030510,15070.0,3129.0,1196.0,240.0,1387.0,304.0,1612.0,449.0,1464.0,374.0,272.0,411.5,20.763105507631057,8.692873122403324,13.151166506871203
11030520,10502.0,2637.0,713.0,245.0,1097.0,413.0,1389.0,503.0,1008.0,321.0,329.0,412.0,25.1095029518187,12.476298824421692,15.623814941221084
11030530,6903.0,2825.0,408.0,220.0,591.0,331.0,647.0,325.0,510.0,237.0,275.5,281.0,40.92423583949007,9.752212389380531,9.946902654867257
11030570,11847.0,1676.0,901.0,123.0,801.0,126.0,1192.0,221.0,1198.0,198.0,124.5,209.5,14.147041445091585,7.428400954653938,12.5
11030580,7671.0,1150.0,673.0,117.0,628.0,125.0,744.0,154.0,759.0,147.0,121.0,150.5,14.9915265284839,10.521739130434783,13.086956521739129
11030590,10006.0,1603.0,710.0,147.0,793.0,191.0,1084.0,208.0,1057.0,180.0,169.0,194.0,16.020387767339596,10.542732376793513,12.102308172177167
11030650,6906.0,2245.0,472.0,187.0,779.0,331.0,825.0,357.0,744.0,290.0,259.0,323.5,32.5079640891978,11.53674832962138,14.409799554565703
11040590,10794.0,1499.0,768.0,60.0,758.0,65.0,1050.0,156.0,1084.0,144.0,62.5,150.0,13.887344821196962,4.169446297531688,10.00667111407605
11040620,11690.0,1795.0,784.0,81.0,911.0,107.0,1371.0,217.0,1511.0,220.0,94.0,218.5,15.355004277159967,5.236768802228412,12.172701949860725
11040650,13780.0,2554.0,1192.0,234.0,1299.0,286.0,1551.0,408.0,1352.0,317.0,260.0,362.5,18.53410740203193,10.180109631949882,14.193422083007048
11040670,16544.0,3648.0,1325.0,303.0,1614.0,402.0,1644.0,391.0,1476.0,317.0,352.5,354.0,22.05029013539652,9.662828947368421,9.703947368421053
11040690,10124.0,2613.0,808.0,234.0,886.0,274.0,1082.0,294.0,936.0,219.0,254.0,256.5,25.809956538917422,9.720627631075391,9.81630309988519
11040700,14560.0,4245.0,1168.0,453.0,1327.0,564.0,1393.0,554.0,1237.0,485.0,508.5,519.5,29.15521978021978,11.978798586572438,12.237926972909305
11080650,21656.0,2623.0,1868.0,257.0,1592.0,229.0,2046.0,190.0,2258.0,182.0,243.0,186.0,12.112116734392316,9.264201296225696,7.091117041555471
11080660,27174.0,1889.0,1762.0,72.0,1761.0,79.0,2827.0,104.0,3772.0,124.0,75.5,114.0,6.951497755207184,3.996823716251985,6.034939121228163
11080810,14730.0,3039.0,1313.0,436.0,1513.0,533.0,1459.0,436.0,1238.0,337.0,484.5,386.5,20.631364562118126,15.94274432379072,12.717999341888781
11080820,22462.0,5205.0,2479.0,933.0,2465.0,911.0,2259.0,719.0,1971.0,526.0,922.0,622.5,23.172469058854954,17.713736791546587,11.959654178674352
11080830,14601.0,6045.0,2548.0,1791.0,2303.0,1630.0,1709.0,793.0,1199.0,499.0,1710.5,646.0,41.40127388535032,28.296112489660874,10.686517783291977
11060720,13487.0,3578.0,1681.0,760.0,1840.0,828.0,1429.0,460.0,1021.0,280.0,794.0,370.0,26.529250389263737,22.19116825041923,10.34097261039687
11060890,28796.0,11238.0,5434.0,4051.0,4250.0,3120.0,2642.0,856.0,2063.0,605.0,3585.5,730.5,39.02625364633977,31.905143263925968,6.500266951414843
11060900,18241.0,2438.0,1662.0,340.0,1617.0,338.0,1660.0,183.0,1670.0,158.0,339.0,170.5,13.365495312756975,13.90484003281378,6.9934372436423295
11060910,23947.0,4283.0,1992.0,504.0,2322.0,541.0,2801.0,514.0,2636.0,473.0,522.5,493.5,17.885330103979623,12.199392948867615,11.522297455054868
11070590,20714.0,1966.0,1896.0,118.0,1764.0,116.0,1849.0,197.0,1891.0,164.0,117.0,180.5,9.491165395384764,5.95116988809766,9.181078331637844
