ADM_CD,네일숍_2022,미용실_2022,분식전문점_2022,애완동물_2022,한식음식점_2022,양식음식점_2022,일식음식점_2022,중식음식점_2022,치킨전문점_2022,커피-음료_2022,패스트푸드점_2022,제과점_2022,편의점_2022,호프-간이주점_2022
11010530.0,13.0,30.0,127.0,10.0,413.0,183.0,55.0,31.0,8.0,17.0,10.0,18.0,11.0,7.0
11010540.0,1.0,0.0,17.0,0.0,73.0,85.0,7.0,4.0,0.0,10.0,0.0,2.0,2.0,0.0
11010550.0,0.0,10.0,14.0,6.0,41.0,37.0,4.0,3.0,0.0,5.0,3.0,6.0,3.0,0.0
11010560.0,2.0,16.0,15.0,3.0,56.0,19.0,5.0,3.0,0.0,1.0,3.0,4.0,3.0,1.0
11010570.0,1.0,9.0,7.0,1.0,21.0,3.0,0.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0
11010580.0,2.0,9.0,15.0,11.0,65.0,18.0,5.0,4.0,1.0,0.0,1.0,6.0,6.0,1.0
11010600.0,0.0,8.0,21.0,1.0,67.0,44.0,7.0,2.0,1.0,4.0,0.0,10.0,3.0,2.0
11010610.0,11.0,35.0,240.0,11.0,1173.0,316.0,108.0,65.0,6.0,18.0,34.0,33.0,31.0,19.0
11010630.0,1.0,19.0,52.0,12.0,306.0,30.0,14.0,5.0,2.0,1.0,2.0,5.0,0.0,6.0
11010640.0,2.0,9.0,44.0,2.0,120.0,87.0,16.0,10.0,0.0,5.0,8.0,11.0,6.0,2.0
11010670.0,2.0,46.0,63.0,9.0,182.0,43.0,10.0,20.0,6.0,2.0,7.0,7.0,6.0,7.0
11010680.0,2.0,46.0,63.0,9.0,182.0,43.0,10.0,20.0,6.0,2.0,7.0,7.0,6.0,7.0
11010690.0,2.0,46.0,63.0,9.0,182.0,43.0,10.0,20.0,6.0,2.0,7.0,7.0,6.0,7.0
11010700.0,3.0,29.0,31.0,6.0,170.0,20.0,11.0,9.0,8.0,0.0,5.0,5.0,10.0,6.0
11010710.0,3.0,29.0,31.0,6.0,170.0,20.0,11.0,9.0,8.0,0.0,5.0,5.0,10.0,6.0
11010720.0,4.0,17.0,22.0,9.0,84.0,65.0,7.0,10.0,1.0,7.0,3.0,8.0,2.0,1.0
11010730.0,7.0,32.0,99.0,4.0,235.0,139.0,26.0,13.0,6.0,14.0,16.0,7.0,11.0,12.0
11020520.0,7.0,22.0,67.0,2.0,401.0,91.0,74.0,38.0,6.0,19.0,14.0,27.0,27.0,5.0
11020540.0,14.0,38.0,88.0,5.0,424.0,107.0,42.0,41.0,8.0,18.0,19.0,33.0,31.0,4.0
11020550.0,23.0,71.0,144.0,9.0,617.0,191.0,96.0,59.0,10.0,59.0,30.0,33.0,55.0,8.0
11020570.0,1.0,21.0,79.0,5.0,323.0,104.0,40.0,20.0,7.0,18.0,4.0,13.0,23.0,15.0
11020580.0,0.0,7.0,15.0,1.0,74.0,31.0,9.0,6.0,0.0,6.0,0.0,10.0,8.0,3.0
11020590.0,12.0,23.0,70.0,3.0,357.0,90.0,40.0,18.0,10.0,13.0,16.0,14.0,19.0,7.0
11020600.0,0.0,8.0,80.0,5.0,291.0,80.0,28.0,19.0,2.0,9.0,3.0,6.0,18.0,13.0
11020650.0,20.0,154.0,109.0,28.0,461.0,78.0,45.0,33.0,21.0,28.0,17.0,22.0,43.0,20.0
11020670.0,4.0,23.0,33.0,7.0,186.0,12.0,19.0,10.0,7.0,1.0,7.0,6.0,8.0,6.0
11020680.0,3.0,23.0,28.0,2.0,95.0,17.0,7.0,6.0,4.0,4.0,0.0,8.0,8.0,3.0
