var,c_2022_all_ols,p_2022_all_ols,c_2022_all_fwd,p_2022_all_fwd,c_2022_all,p_2022_all
애완동물,-0.598,+,-0.523,+,-0.517,+
제과점,-0.267,+,-0.271,+,-0.332,+
종사자수,-0.224,+,-0.189, ,-0.208,+
패스트푸드점,-0.103, ,-0.119, ,,
대학교,0.158,+,0.165,+,0.165,+
분식전문점,0.331,+,0.213,+,0.199,+
편의점,0.322,+,0.305,+,0.287,+
양식음식점,0.236,+,0.306,+,0.302,+
미용실,0.343, ,0.354,+,0.337,+
사업체수,0.47,+,0.443,+,0.448,+
네일숍,0.061, ,,,,
한식음식점,-0.123, ,,,,
일식음식점,0.065, ,,,,
중식음식점,-0.032, ,,,,
치킨전문점,-0.054, ,,,,
커피-음료,0.056, ,,,,
호프-간이주점,0.077, ,,,,
대형마트,0.025, ,,,,
쇼핑업체수,-0.081, ,,,,
슈퍼마켓,0.042, ,,,,
지가변동률,0.027, ,,,,
지가,-0.012, ,,,,
기타대학,0.05, ,,,,
