var2,var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
const,상수,0.0, ,0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,0.0, ,0.0, ,-0.0, 
var2,미용실,0.337,+,,,,,0.347,+,,,-0.409,+,,,,,,
var3,애완동물,-0.517,+,-0.388,+,,,-0.625,+,-0.465,+,,,-0.542,+,-0.596,+,,
var4,분식전문점,0.199,+,,,,,,,,,,,0.359,+,,,,
var6,양식음식점,0.302,+,0.138,+,,,0.337,+,0.181,+,0.166,+,0.223,+,0.131,+,0.143,+
var12,제과점,-0.332,+,-0.257,+,-0.373,+,-0.315,+,-0.292,+,-0.298,+,-0.279,+,,,-0.305,+
var16,편의점,0.287,+,0.296,+,0.275,+,0.513,+,0.511,+,0.4,+,0.461,+,0.329,+,,
var18,사업체수,0.448,+,0.111,+,0.274,+,0.557,+,0.105,+,0.309,+,0.536,+,0.346,+,0.316,+
var19,종사자수,-0.208,+,,,,,-0.296,+,,,,,-0.344,+,-0.263,+,,
var22,대학교,0.165,+,0.447,+,-0.082,+,0.169,+,0.451,+,-0.088,+,0.166,+,0.438,+,,
