var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
const,-0.0, ,0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,0.0, ,0.0, ,-0.0, 
네일숍,0.061, ,0.291,+,0.377,+,0.154, ,0.301,+,0.414,+,0.15, ,0.339,+,0.353,+
미용실,0.343, ,0.015, ,-0.074, ,0.331, ,0.149, ,-0.258, ,0.153, ,0.029, ,-0.242, 
애완동물,-0.598,+,-0.461,+,-0.06, ,-0.737,+,-0.581,+,-0.064, ,-0.669,+,-0.563,+,-0.023, 
분식전문점,0.331,+,0.316, ,-0.043, ,0.337,+,0.285, ,-0.007, ,0.392,+,0.209, ,0.009, 
한식음식점,-0.123, ,-0.58,+,-0.487,+,-0.107, ,-0.571,+,-0.594,+,-0.038, ,-0.324, ,-0.398,+
양식음식점,0.236,+,0.121, ,0.084, ,0.216,+,0.126, ,0.171,+,0.193,+,0.115, ,0.159,+
일식음식점,0.065, ,0.257, ,0.61,+,0.052, ,0.241, ,0.457,+,-0.065, ,0.077, ,0.295,+
중식음식점,-0.032, ,-0.04, ,-0.013, ,-0.054, ,-0.059, ,-0.01, ,-0.034, ,-0.022, ,0.038, 
치킨전문점,-0.054, ,0.047, ,-0.245,+,-0.074, ,-0.028, ,-0.205, ,-0.093, ,-0.027, ,-0.202, 
커피-음료,0.056, ,0.034, ,-0.108, ,0.04, ,0.045, ,-0.056, ,0.055, ,0.076, ,-0.023, 
패스트푸드점,-0.103, ,-0.091, ,0.051, ,-0.094, ,-0.038, ,0.107, ,-0.144, ,-0.056, ,0.062, 
제과점,-0.267,+,-0.192, ,-0.402,+,-0.277,+,-0.27, ,-0.365,+,-0.218, ,-0.167, ,-0.283,+
호프-간이주점,0.077, ,0.07, ,0.101, ,0.071, ,0.058, ,0.119, ,0.119, ,0.057, ,0.125, 
대형마트,0.025, ,0.055, ,0.087,+,0.036, ,0.056, ,0.083, ,0.021, ,0.061, ,0.068, 
쇼핑업체수,-0.081, ,-0.157,+,-0.106, ,-0.091, ,-0.117, ,-0.163,+,-0.064, ,-0.164,+,-0.137,+
편의점,0.322,+,0.327,+,0.385,+,0.442,+,0.444,+,0.504,+,0.471,+,0.392,+,0.37,+
슈퍼마켓,0.042, ,0.007, ,-0.037, ,0.037, ,0.001, ,-0.022, ,0.053, ,0.008, ,-0.018, 
사업체수,0.47,+,0.323,+,0.305,+,0.538,+,0.304,+,0.354,+,0.538,+,0.309,+,0.448,+
종사자수,-0.224,+,-0.198, ,-0.07, ,-0.282,+,-0.189, ,-0.092, ,-0.319,+,-0.232,+,-0.171, 
지가변동률,0.027, ,0.131, ,0.024, ,0.035, ,0.104, ,0.24,+,0.007, ,0.08, ,0.34,+
지가,-0.012, ,0.025, ,-0.254,+,0.012, ,0.009, ,-0.002, ,0.007, ,0.003, ,-0.157,+
대학교,0.158,+,0.437,+,-0.079, ,0.156,+,0.439,+,-0.078, ,0.16,+,0.441,+,-0.058, 
기타대학,0.05, ,0.083, ,-0.042, ,0.048, ,0.082, ,-0.048, ,0.032, ,0.071, ,-0.05, 
