,2022_all,2022_20s,2022_30s,2023_all,2023_20s,2023_30s,2024_all,2024_20s,2024_30s
ADM_CD,11102641.0,11092670.0,11219607.0,11115644.0,11079676.0,11199617.0,11118637.0,11080681.0,11199615.0
solo_all_ratio,53.0,43.0,33.0,54.0,42.0,35.0,52.0,42.0,33.0
solo_20s_ratio,22.0,32.0,13.0,21.0,32.0,13.0,22.0,31.0,12.0
solo_30s_ratio,12.0,9.0,21.0,13.0,8.0,21.0,13.0,9.0,20.0
네일숍,33.0,24.0,62.0,36.0,20.0,58.0,40.0,26.0,62.0
미용실,158.0,124.0,199.0,159.0,91.0,179.0,154.0,115.0,183.0
애완동물,30.0,18.0,56.0,34.0,14.0,51.0,34.0,19.0,56.0
분식전문점,148.0,71.0,143.0,146.0,52.0,120.0,124.0,60.0,117.0
한식음식점,660.0,310.0,806.0,698.0,233.0,697.0,652.0,296.0,709.0
양식음식점,184.0,90.0,260.0,183.0,66.0,222.0,164.0,81.0,224.0
일식음식점,81.0,39.0,121.0,87.0,29.0,107.0,83.0,41.0,117.0
중식음식점,56.0,29.0,75.0,58.0,24.0,67.0,61.0,31.0,71.0
치킨전문점,22.0,17.0,25.0,20.0,15.0,21.0,18.0,15.0,20.0
커피-음료,22.0,15.0,15.0,22.0,12.0,12.0,16.0,12.0,11.0
패스트푸드점,34.0,17.0,60.0,33.0,14.0,47.0,28.0,15.0,43.0
제과점,33.0,22.0,50.0,38.0,17.0,47.0,33.0,20.0,45.0
호프-간이주점,34.0,27.0,15.0,35.0,20.0,15.0,32.0,22.0,15.0
대형마트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
쇼핑업체수,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0
편의점,66.0,35.0,88.0,73.0,27.0,73.0,75.0,37.0,77.0
슈퍼마켓,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
사업체수,7170.0,2388.0,9362.0,8535.0,2291.0,8456.0,8875.0,2228.0,9386.0
종사자수,52307.0,13399.0,70676.0,55421.0,13080.0,63781.0,59693.0,13006.0,71586.0
지가변동률,5.0,5.0,6.0,7.0,7.0,9.0,8.0,7.0,11.0
지가,97.0,98.0,95.0,99.0,99.0,98.0,100.0,100.0,100.0
대학교,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
기타대학,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
