,2024_all,2024_20s,2024_30s
ADM_CD,11118637.0,11080681.0,11199615.0
solo_all_ratio,52.0,42.0,33.0
solo_20s_ratio,22.0,31.0,12.0
solo_30s_ratio,13.0,9.0,20.0
네일숍,40.0,26.0,62.0
미용실,154.0,115.0,183.0
애완동물,34.0,19.0,56.0
분식전문점,124.0,60.0,117.0
한식음식점,652.0,296.0,709.0
양식음식점,164.0,81.0,224.0
일식음식점,83.0,41.0,117.0
중식음식점,61.0,31.0,71.0
치킨전문점,18.0,15.0,20.0
커피-음료,16.0,12.0,11.0
패스트푸드점,28.0,15.0,43.0
제과점,33.0,20.0,45.0
호프-간이주점,32.0,22.0,15.0
대형마트,0.0,0.0,0.0
쇼핑업체수,2.0,1.0,2.0
편의점,75.0,37.0,77.0
슈퍼마켓,0.0,0.0,1.0
사업체수,8875.0,2228.0,9386.0
종사자수,59693.0,13006.0,71586.0
지가변동률,8.0,7.0,11.0
지가,100.0,100.0,100.0
대학교,1.0,1.0,0.0
기타대학,0.0,0.0,0.0
