,2022_all,2023_all,2024_all
ADM_CD,11102641.0,11115644.0,11118637.0
solo_all_ratio,53.0,54.0,52.0
solo_20s_ratio,22.0,21.0,22.0
solo_30s_ratio,12.0,13.0,13.0
네일숍,33.0,36.0,40.0
미용실,158.0,159.0,154.0
애완동물,30.0,34.0,34.0
분식전문점,148.0,146.0,124.0
한식음식점,660.0,698.0,652.0
양식음식점,184.0,183.0,164.0
일식음식점,81.0,87.0,83.0
중식음식점,56.0,58.0,61.0
치킨전문점,22.0,20.0,18.0
커피-음료,22.0,22.0,16.0
패스트푸드점,34.0,33.0,28.0
제과점,33.0,38.0,33.0
호프-간이주점,34.0,35.0,32.0
대형마트,0.0,0.0,0.0
쇼핑업체수,2.0,3.0,2.0
편의점,66.0,73.0,75.0
슈퍼마켓,0.0,0.0,0.0
사업체수,7170.0,8535.0,8875.0
종사자수,52307.0,55421.0,59693.0
지가변동률,5.0,7.0,8.0
지가,97.0,99.0,100.0
대학교,1.0,0.0,1.0
기타대학,0.0,0.0,0.0
