,top20,top30,top60,top70
금융기관_근접3,84.0,393.0,56.0,92.0
사업체합계,22278.0,89443.0,12626.0,14363.0
지가 변동률,3.7909999999999995,4.737,3.4480000000000004,3.5799999999999996
지가 누계,39.818000000000005,53.29899999999999,38.541,40.762
노인복지시설 개수,49.0,50.0,110.0,120.0
안심귀갓길 개수,7.0,3.0,0.0,0.0
대학교 개수_근접3,7.0,2.0,3.0,4.0
동물미용업,45.0,216.0,92.0,112.0
동물병원,36.0,91.0,52.0,78.0
동물약국,118.0,290.0,133.0,160.0
미용업,1833.0,3680.0,1716.0,2274.0
병원,18.0,57.0,24.0,22.0
세탁업,193.0,402.0,226.0,275.0
약국,286.0,598.0,227.0,319.0
영화상영관,51.0,172.0,12.0,38.0
이용업,116.0,165.0,190.0,164.0
일반음식점,7783.0,17934.0,4956.0,5668.0
제과점영업,199.0,464.0,161.0,261.0
휴게음식점,1042.0,2386.0,677.0,1160.0
카페,1059.0,2236.0,575.0,856.0
편의점,372.0,855.0,332.0,315.0
쇼핑_근접9,97.0,126.0,81.0,81.0
대형마트_근접3,2.0,4.0,1.0,6.0
