ADM_CD,행정동코드,total_all,solo_all,total_20,solo_20,total_30,solo_30,total_40,solo_40,total_50,solo_50,total_60,solo_60,total_70,solo_70,자치구,행정동명,시도명,시군구,읍면동,key1,key2,금융기관,유통업체합계,대형마트,백화점,전문점,쇼핑센터,복합쇼핑몰,그밖의 대규모점포,사업체합계,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,교육 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,사업체합계_종사자통계,종사자수,평균종사자,사업체밀도,종사자밀도,인구밀도,종사자밀도비,지가 변동률,지가 누계,노인복지시설 개수,안심귀갓길 개수,대학교 개수,동물미용업 동물미용업,동물병원 동물병원,동물약국 동물약국,미용업 기타,미용업 네일아트업,미용업 메이크업업,미용업 숙박업 기타,미용업 일반미용업,미용업 일반이용업,미용업 피부미용업,병원 병원,병원 요양병원(노인병원),병원 요양병원(일반요양병원),병원 정신병원,병원 종합병원,병원 치과병원,병원 한방병원,세탁업 빨래방업,세탁업 세탁업 기타,세탁업 운동화전문세탁업,세탁업 일반세탁업,약국 약국,영화상영관 영화상영관,의원 보건소,의원 보건지소,의원 의원,의원 조산원,의원 치과의원,의원 한의원,이용업 이용업 기타,이용업 일반이용업,일반음식점 감성주점,일반음식점 경양식,일반음식점 기타,일반음식점 김밥(도시락),일반음식점 까페,일반음식점 냉면집,일반음식점 라이브카페,일반음식점 복어취급,일반음식점 분식,일반음식점 뷔페식,일반음식점 식육(숯불구이),"일반음식점 외국음식전문점(인도,태국등)",일반음식점 이동조리,일반음식점 일반음식점,일반음식점 일식,일반음식점 전통찻집,일반음식점 정종/대포집/소주방,일반음식점 중국식,일반음식점 출장조리,일반음식점 커피숍,일반음식점 키즈카페,일반음식점 탕류(보신용),일반음식점 통닭(치킨),일반음식점 패밀리레스트랑,일반음식점 패스트푸드,일반음식점 한식,일반음식점 호프/통닭,일반음식점 횟집,제과점영업 제과점영업,제과점영업 푸드트럭,휴게음식점 고속도로,휴게음식점 공항,휴게음식점 과자점,휴게음식점 관광호텔,휴게음식점 극장,휴게음식점 기타 휴게음식점,휴게음식점 다방,휴게음식점 단란주점,휴게음식점 떡카페,휴게음식점 백화점,휴게음식점 아이스크림,휴게음식점 유원지,휴게음식점 일반조리판매,휴게음식점 전통찻집,휴게음식점 철도역구내,휴게음식점 커피숍,휴게음식점 키즈카페,휴게음식점 패스트푸드,휴게음식점 편의점,휴게음식점 푸드트럭,휴게음식점 호프/통닭,동물미용업,동물병원,동물약국,미용업,병원,세탁업,약국,영화상영관,의원,이용업,일반음식점,제과점영업,휴게음식점,카페,편의점,쇼핑,반려동물업,사업체합계2
11010530,1101053.0,8451.0,2081.0,1273.0,435.0,1535.0,480.0,1659.0,389.0,1637.0,256.0,1236.0,219.0,1111.0,302.0,종로구,사직동,서울특별시,종로구,사직동,종로구 사직동,종로구 사직동,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4994.0,1.0,1.0,172.0,10.0,1.0,59.0,781.0,324.0,932.0,358.0,289.0,319.0,634.0,435.0,28.0,122.0,125.0,115.0,288.0,4994.0,56046.0,11.22,4060.16,45565.85,7605.69,599.1,0.445,4.353,1,0.0,0.0,1.0,1.0,8.0,2.0,14.0,7.0,0.0,36.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,14.0,4.0,0.0,0.0,32.0,0.0,19.0,4.0,0.0,10.0,1.0,170.0,227.0,2.0,15.0,0.0,0.0,1.0,120.0,1.0,0.0,18.0,0.0,0.0,63.0,3.0,6.0,33.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,405.0,19.0,2.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,101.0,0.0,7.0,13.0,11.0,0.0,1.0,1.0,8.0,74.0,2.0,8.0,14.0,4.0,55.0,10.0,1079.0,18.0,110.0,116.0,13.0,0.0,10.0,4213.0
11010540,1101054.0,2569.0,894.0,486.0,242.0,393.0,175.0,415.0,129.0,498.0,129.0,387.0,91.0,390.0,128.0,종로구,삼청동,서울특별시,종로구,삼청동,종로구 삼청동,종로구 삼청동,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,38.0,0.0,0.0,13.0,318.0,19.0,233.0,40.0,13.0,63.0,92.0,29.0,3.0,22.0,12.0,30.0,45.0,970.0,5118.0,5.28,651.01,3434.9,1773.15,193.72,0.412,4.253,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,80.0,73.0,0.0,9.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,8.0,0.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,0.0,7.0,0.0,263.0,3.0,41.0,58.0,1.0,0.0,1.0,652.0
11010550,1101055.0,9202.0,1563.0,1984.0,370.0,1330.0,320.0,1826.0,216.0,1758.0,167.0,1178.0,187.0,1126.0,303.0,종로구,부암동,서울특별시,종로구,부암동,종로구 부암동,종로구 부암동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.0,0.0,0.0,44.0,0.0,0.0,33.0,235.0,33.0,126.0,68.0,2.0,51.0,93.0,20.0,3.0,54.0,29.0,39.0,78.0,908.0,4140.0,4.56,400.0,1823.79,4200.88,43.41,0.488,4.741,2,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,37.0,34.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,28.0,0.0,3.0,4.0,6.0,0.0,4.0,2.0,1.0,12.0,0.0,5.0,1.0,0.0,4.0,1.0,137.0,7.0,33.0,32.0,4.0,0.0,7.0,673.0
11010560,1101056.0,15577.0,1633.0,2444.0,260.0,2194.0,247.0,3113.0,226.0,3400.0,233.0,2148.0,181.0,2278.0,486.0,종로구,평창동,서울특별시,종로구,평창동,종로구 평창동,종로구 평창동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,0.0,1.0,39.0,0.0,1.0,42.0,347.0,64.0,125.0,98.0,11.0,109.0,115.0,30.0,3.0,64.0,42.0,74.0,121.0,1286.0,4294.0,3.34,144.98,484.1,2013.3,24.05,0.403,4.131,8,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,15.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,2.0,0.0,17.0,28.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,39.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,24.0,1.0,8.0,5.0,0.0,9.0,2.0,131.0,4.0,32.0,40.0,4.0,0.0,4.0,939.0
11030740,1103074.0,19025.0,5428.0,2988.0,1198.0,4326.0,1544.0,3422.0,919.0,3398.0,589.0,2666.0,521.0,2225.0,657.0,용산구,한남동,서울특별시,용산구,한남동,용산구 한남동,용산구 한남동,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3213.0,0.0,0.0,117.0,0.0,1.0,91.0,833.0,76.0,620.0,174.0,82.0,317.0,348.0,84.0,3.0,92.0,51.0,116.0,208.0,3213.0,20440.0,6.36,1067.44,6790.7,7326.91,92.68,0.466,5.706,4,3.0,0.0,6.0,5.0,2.0,1.0,13.0,5.0,0.0,48.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,15.0,1.0,8.0,0.0,0.0,8.0,2.0,179.0,193.0,2.0,18.0,0.0,0.0,1.0,22.0,1.0,2.0,57.0,0.0,0.0,48.0,1.0,5.0,22.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,196.0,18.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,68.0,0.0,4.0,11.0,0.0,0.0,6.0,5.0,2.0,95.0,0.0,8.0,6.0,0.0,24.0,8.0,760.0,29.0,41.0,86.0,11.0,0.0,13.0,2380.0
11040520,1104052.0,13339.0,2342.0,2415.0,587.0,2517.0,470.0,2730.0,406.0,2607.0,276.0,1785.0,233.0,1285.0,370.0,성동구,왕십리2동,서울특별시,성동구,왕십리제2동,성동구 왕십리2동,성동구 왕십리제2동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,1.0,0.0,188.0,0.0,0.0,46.0,346.0,122.0,127.0,32.0,6.0,79.0,37.0,22.0,2.0,51.0,35.0,24.0,94.0,1212.0,2807.0,2.32,2956.1,6846.34,40702.44,16.82,0.321,2.997,0,0.0,0.0,4.0,2.0,10.0,1.0,17.0,7.0,0.0,60.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,15.0,0.0,12.0,7.0,0.0,6.0,0.0,13.0,55.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,4.0,0.0,0.0,11.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,72.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0,28.0,0.0,3.0,14.0,0.0,0.0,4.0,2.0,10.0,110.0,1.0,9.0,15.0,0.0,34.0,6.0,199.0,10.0,30.0,29.0,14.0,0.0,16.0,866.0
11040540,1104054.0,20419.0,4055.0,4363.0,1531.0,3546.0,795.0,3716.0,440.0,3884.0,365.0,2749.0,331.0,2161.0,593.0,성동구,마장동,서울특별시,성동구,마장동,성동구 마장동,성동구 마장동,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4037.0,2.0,0.0,379.0,2.0,7.0,438.0,1904.0,503.0,210.0,47.0,15.0,121.0,71.0,41.0,2.0,60.0,57.0,33.0,145.0,4037.0,12989.0,3.22,3844.76,12370.48,21624.76,57.21,0.091,2.014,2,0.0,0.0,2.0,1.0,3.0,0.0,4.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,8.0,0.0,5.0,5.0,0.0,3.0,0.0,8.0,20.0,2.0,3.0,0.0,0.0,0.0,7.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,112.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,11.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,3.0,32.0,0.0,8.0,9.0,0.0,18.0,3.0,186.0,3.0,14.0,14.0,8.0,0.0,6.0,2133.0
11020680,1102068.0,7375.0,1347.0,1072.0,229.0,1455.0,254.0,1400.0,205.0,1403.0,168.0,1104.0,180.0,941.0,311.0,중구,중림동,서울특별시,중구,중림동,중구 중림동,중구 중림동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,0.0,0.0,68.0,0.0,3.0,23.0,339.0,82.0,223.0,74.0,29.0,75.0,103.0,45.0,3.0,39.0,47.0,25.0,101.0,1279.0,7764.0,6.07,2664.58,16175.0,25704.17,62.93,0.482,4.829,2,1.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,9.0,0.0,7.0,4.0,0.0,5.0,1.0,10.0,34.0,0.0,3.0,0.0,1.0,0.0,21.0,1.0,3.0,9.0,0.0,0.0,7.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,83.0,8.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,26.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,25.0,0.0,5.0,8.0,0.0,20.0,5.0,189.0,8.0,26.0,29.0,8.0,0.0,3.0,940.0
11040730,1104073.0,18451.0,2332.0,2746.0,245.0,4327.0,555.0,3522.0,500.0,3376.0,289.0,2543.0,319.0,1937.0,424.0,성동구,옥수동,서울특별시,성동구,옥수동,성동구 옥수동,성동구 옥수동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,0.0,0.0,58.0,2.0,0.0,38.0,355.0,70.0,152.0,76.0,9.0,123.0,99.0,27.0,2.0,130.0,58.0,47.0,134.0,1380.0,4807.0,3.48,711.34,2477.84,13321.13,18.6,0.315,3.201,2,0.0,0.0,3.0,4.0,2.0,0.0,9.0,1.0,0.0,29.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,16.0,0.0,9.0,6.0,0.0,7.0,0.0,16.0,30.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,49.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,3.0,4.0,2.0,53.0,0.0,9.0,9.0,0.0,31.0,7.0,128.0,9.0,22.0,20.0,7.0,0.0,9.0,1025.0
11020580,1102058.0,5796.0,2493.0,2159.0,1261.0,992.0,504.0,802.0,224.0,759.0,182.0,578.0,149.0,506.0,173.0,중구,장충동,서울특별시,중구,장충동,중구 장충동,중구 장충동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.0,0.0,1.0,143.0,0.0,2.0,20.0,306.0,24.0,161.0,47.0,16.0,52.0,88.0,23.0,3.0,21.0,10.0,18.0,56.0,991.0,7975.0,8.05,728.68,5863.97,3916.18,149.74,0.429,4.469,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,32.0,24.0,1.0,5.0,0.0,0.0,0.0,13.0,2.0,0.0,4.0,0.0,0.0,10.0,0.0,2.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,32.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,11.0,0.0,4.0,2.0,1.0,6.0,3.0,182.0,9.0,12.0,37.0,8.0,0.0,1.0,685.0
