ADM_CD,ADM_NM,dong_1_name,dong_1_code,dong_1_distance,dong_2_name,dong_2_code,dong_2_distance,dong_3_name,dong_3_code,dong_3_distance,dong_4_name,dong_4_code,dong_4_distance,dong_5_name,dong_5_code,dong_5_distance,dong_6_name,dong_6_code,dong_6_distance,dong_7_name,dong_7_code,dong_7_distance,dong_8_name,dong_8_code,dong_8_distance,dong_9_name,dong_9_code,dong_9_distance,dong_10_name,dong_10_code,dong_10_distance
11010530,사직동,교남동,11010580,635.2332360522403,무악동,11010570,1100.795535450551,청운효자동,11010720,1168.5275300670717,가회동,11010600,1718.9387865387903,종로1234가동,11010610,1726.5438078959683,삼청동,11010540,1869.9950531320017,부암동,11010550,2629.908256399922,혜화동,11010730,2824.2942946174603,이화동,11010640,2954.4448253005157,종로56가동,11010630,3006.5741455929733
11010540,삼청동,가회동,11010600,803.025762964251,청운효자동,11010720,1089.2342974161772,혜화동,11010730,1435.8061458590596,종로1234가동,11010610,1650.6167300948673,부암동,11010550,1827.2882261957238,사직동,11010530,1869.9950531320017,이화동,11010640,2152.1794774534496,무악동,11010570,2355.899386724861,교남동,11010580,2442.1236751309375,종로56가동,11010630,2675.205806789707
11010550,부암동,청운효자동,11010720,1501.3569499710072,삼청동,11010540,1827.2882261957238,평창동,11010560,2116.518778717007,무악동,11010570,2245.391566113681,가회동,11010600,2587.103481178907,사직동,11010530,2629.908256399922,교남동,11010580,2873.4942513161486,혜화동,11010730,3171.345321001324,종로1234가동,11010610,3351.8506095880584,이화동,11010640,3975.7799657051332
11010560,평창동,부암동,11010550,2116.518778717007,삼청동,11010540,3242.8589826086195,청운효자동,11010720,3473.1173554002153,가회동,11010600,4023.5777916136694,혜화동,11010730,4060.879758727324,무악동,11010570,4361.901366971002,사직동,11010530,4641.594096904116,종로1234가동,11010610,4885.944016453286,교남동,11010580,4963.208540285191,이화동,11010640,5041.07879526254
11010570,무악동,교남동,11010580,829.7977260865443,사직동,11010530,1100.795535450551,청운효자동,11010720,1287.451431789611,부암동,11010550,2245.391566113681,삼청동,11010540,2355.899386724861,가회동,11010600,2540.667228619694,종로1234가동,11010610,2769.8614021538087,혜화동,11010730,3617.1554813066614,이화동,11010640,3934.409420709648,종로56가동,11010630,4072.889759762887
11010630,종로56가동,창신2동,11010680,620.4970843003783,이화동,11010640,771.0262076265528,창신1동,11010670,832.2531221846476,창신3동,11010690,1031.7198424308353,숭인1동,11010700,1202.944991560926,종로1234가동,11010610,1309.542594012894,숭인2동,11010710,1419.50087736773,혜화동,11010730,1734.1025828569025,가회동,11010600,1905.9410015968867,삼청동,11010540,2675.205806789707
11010640,이화동,창신2동,11010680,753.8352088764433,종로56가동,11010630,771.0262076265528,창신3동,11010690,904.6048330932692,혜화동,11010730,991.57263907726,창신1동,11010670,1253.5733617852406,숭인1동,11010700,1256.5255027212195,종로1234가동,11010610,1266.4578146569497,가회동,11010600,1487.377578629,숭인2동,11010710,1635.756843888642,삼청동,11010540,2152.1794774534496
11010670,창신1동,창신2동,11010680,516.3376929885277,숭인1동,11010700,599.6091423969802,숭인2동,11010710,623.5282616058857,창신3동,11010690,732.3408905864483,종로56가동,11010630,832.2531221846476,이화동,11010640,1253.5733617852406,종로1234가동,11010610,2137.2643752948775,혜화동,11010730,2213.0057232064696,가회동,11010600,2656.9468286630768,삼청동,11010540,3381.8469760735447
11010680,창신2동,창신3동,11010690,420.93668858017776,창신1동,11010670,516.3376929885277,숭인1동,11010700,605.5749355530253,종로56가동,11010630,620.4970843003783,이화동,11010640,753.8352088764433,숭인2동,11010710,912.7082647351428,혜화동,11010730,1697.3610799474325,종로1234가동,11010610,1797.4561976603031,가회동,11010600,2208.084475285703,삼청동,11010540,2902.504374806184
11010690,창신3동,숭인1동,11010700,378.9040859468352,창신2동,11010680,420.93668858017776,창신1동,11010670,732.3408905864483,숭인2동,11010710,800.3668387077598,이화동,11010640,904.6048330932692,종로56가동,11010630,1031.7198424308353,혜화동,11010730,1684.3837829522254,종로1234가동,11010610,2104.803100843629,가회동,11010600,2388.202990794062,삼청동,11010540,3013.7560296456745
