ADM_CD,행정동코드,total_all,solo_all,total_20,solo_20,total_30,solo_30,total_40,solo_40,total_50,solo_50,total_60,solo_60,total_70,solo_70,자치구,행정동명
11010530,1101053.0,8451.0,2081.0,1273.0,435.0,1535.0,480.0,1659.0,389.0,1637.0,256.0,1236.0,219.0,1111.0,302.0,종로구,사직동
11010540,1101054.0,2569.0,894.0,486.0,242.0,393.0,175.0,415.0,129.0,498.0,129.0,387.0,91.0,390.0,128.0,종로구,삼청동
11010550,1101055.0,9202.0,1563.0,1984.0,370.0,1330.0,320.0,1826.0,216.0,1758.0,167.0,1178.0,187.0,1126.0,303.0,종로구,부암동
11010560,1101056.0,15577.0,1633.0,2444.0,260.0,2194.0,247.0,3113.0,226.0,3400.0,233.0,2148.0,181.0,2278.0,486.0,종로구,평창동
11030740,1103074.0,19025.0,5428.0,2988.0,1198.0,4326.0,1544.0,3422.0,919.0,3398.0,589.0,2666.0,521.0,2225.0,657.0,용산구,한남동
11040520,1104052.0,13339.0,2342.0,2415.0,587.0,2517.0,470.0,2730.0,406.0,2607.0,276.0,1785.0,233.0,1285.0,370.0,성동구,왕십리2동
11040540,1104054.0,20419.0,4055.0,4363.0,1531.0,3546.0,795.0,3716.0,440.0,3884.0,365.0,2749.0,331.0,2161.0,593.0,성동구,마장동
11020680,1102068.0,7375.0,1347.0,1072.0,229.0,1455.0,254.0,1400.0,205.0,1403.0,168.0,1104.0,180.0,941.0,311.0,중구,중림동
11040730,1104073.0,18451.0,2332.0,2746.0,245.0,4327.0,555.0,3522.0,500.0,3376.0,289.0,2543.0,319.0,1937.0,424.0,성동구,옥수동
11020580,1102058.0,5796.0,2493.0,2159.0,1261.0,992.0,504.0,802.0,224.0,759.0,182.0,578.0,149.0,506.0,173.0,중구,장충동
11020590,1102059.0,6152.0,2499.0,1182.0,669.0,1238.0,606.0,1004.0,396.0,1165.0,288.0,982.0,308.0,581.0,232.0,중구,광희동
11040550,1104055.0,13656.0,5841.0,6326.0,4133.0,2079.0,842.0,1606.0,267.0,1550.0,187.0,1111.0,177.0,984.0,235.0,성동구,사근동
11030510,1103051.0,15213.0,3193.0,2591.0,556.0,3004.0,797.0,3056.0,541.0,2836.0,438.0,1973.0,364.0,1753.0,497.0,용산구,후암동
11030520,1103052.0,10663.0,2738.0,1831.0,679.0,2346.0,806.0,1890.0,354.0,1874.0,292.0,1454.0,270.0,1268.0,337.0,용산구,용산2가동
11030530,1103053.0,7009.0,2901.0,1017.0,566.0,1128.0,550.0,1336.0,493.0,1559.0,469.0,1158.0,466.0,811.0,357.0,용산구,남영동
11030570,1103057.0,12008.0,1767.0,1702.0,272.0,2333.0,416.0,2621.0,262.0,2341.0,220.0,1616.0,213.0,1395.0,384.0,용산구,원효로2동
11030580,1103058.0,7733.0,1195.0,1301.0,269.0,1466.0,293.0,1641.0,165.0,1449.0,149.0,920.0,130.0,956.0,189.0,용산구,효창동
11030590,1103059.0,10134.0,1652.0,1506.0,345.0,2090.0,372.0,2064.0,225.0,1898.0,200.0,1421.0,214.0,1155.0,296.0,용산구,용문동
11030650,1103065.0,6973.0,2348.0,1259.0,556.0,1532.0,636.0,1190.0,394.0,1207.0,230.0,914.0,217.0,871.0,315.0,용산구,이태원1동
11040590,1104059.0,10962.0,1561.0,1527.0,123.0,2084.0,289.0,2289.0,237.0,2138.0,251.0,1603.0,261.0,1321.0,400.0,성동구,금호1가동
11040620,1104062.0,12588.0,2029.0,1699.0,188.0,2815.0,435.0,2426.0,334.0,2233.0,308.0,1875.0,339.0,1540.0,425.0,성동구,금호4가동
11040650,1104065.0,13886.0,2593.0,2497.0,526.0,2834.0,697.0,2883.0,441.0,2859.0,322.0,1642.0,254.0,1171.0,353.0,성동구,성수1가1동
11040670,1104067.0,16709.0,3737.0,2951.0,705.0,3046.0,694.0,3074.0,590.0,3817.0,742.0,2260.0,493.0,1561.0,513.0,성동구,성수2가1동
11040690,1104069.0,10210.0,2709.0,1698.0,536.0,1971.0,512.0,1978.0,428.0,2291.0,547.0,1423.0,397.0,849.0,289.0,성동구,송정동
11040700,1104070.0,14706.0,4451.0,2503.0,1062.0,2566.0,1043.0,2996.0,661.0,3109.0,689.0,2030.0,511.0,1502.0,485.0,성동구,용답동
11080650,1108065.0,22339.0,2825.0,3461.0,509.0,4209.0,369.0,4582.0,397.0,4040.0,406.0,3245.0,448.0,2802.0,696.0,성북구,정릉4동
11080660,1108066.0,27812.0,1992.0,3530.0,155.0,6451.0,230.0,7421.0,395.0,4819.0,286.0,3078.0,333.0,2513.0,593.0,성북구,길음1동
11080810,1108081.0,14984.0,3250.0,2844.0,1061.0,2641.0,786.0,2783.0,417.0,2681.0,270.0,2044.0,273.0,1991.0,443.0,성북구,성북동
11080820,1108082.0,22647.0,5543.0,4947.0,2001.0,4127.0,1251.0,4429.0,676.0,3869.0,485.0,2738.0,421.0,2537.0,709.0,성북구,삼선동
11080830,1108083.0,14732.0,6162.0,4871.0,3477.0,2842.0,1287.0,2239.0,403.0,1919.0,273.0,1468.0,282.0,1393.0,440.0,성북구,동선동
11060720,1106072.0,13629.0,3663.0,3532.0,1651.0,2391.0,729.0,2204.0,295.0,2251.0,286.0,1804.0,305.0,1447.0,397.0,동대문구,휘경1동
11060890,1106089.0,29037.0,11454.0,9687.0,7240.0,4594.0,1481.0,4384.0,709.0,4295.0,555.0,3197.0,549.0,2880.0,920.0,동대문구,이문1동
11060900,1106090.0,18427.0,2552.0,3284.0,706.0,3253.0,335.0,3822.0,306.0,3508.0,354.0,2559.0,336.0,2001.0,515.0,동대문구,이문2동
11060910,1106091.0,24385.0,4118.0,4268.0,986.0,5344.0,971.0,4784.0,615.0,4477.0,473.0,3172.0,446.0,2340.0,627.0,동대문구,답십리1동
11070590,1107059.0,20821.0,2351.0,3680.0,297.0,3643.0,441.0,4342.0,277.0,4646.0,386.0,2597.0,387.0,1913.0,563.0,중랑구,상봉1동
11070610,1107061.0,17212.0,2388.0,2905.0,374.0,3464.0,476.0,2989.0,390.0,3644.0,402.0,2572.0,336.0,1638.0,410.0,중랑구,중화1동
11070690,1107069.0,31366.0,2644.0,5177.0,268.0,5939.0,310.0,5881.0,267.0,6468.0,476.0,4546.0,523.0,3355.0,800.0,중랑구,신내1동
11080720,1108072.0,17909.0,3767.0,3847.0,1567.0,3179.0,577.0,3264.0,368.0,3138.0,369.0,2389.0,371.0,2092.0,515.0,성북구,월곡2동
11050660,1105066.0,24256.0,2317.0,4114.0,354.0,4807.0,473.0,5004.0,366.0,5031.0,303.0,3112.0,262.0,2188.0,559.0,광진구,자양3동
11050610,1105061.0,20490.0,3141.0,3360.0,530.0,4059.0,661.0,4153.0,523.0,4023.0,444.0,2895.0,411.0,2000.0,572.0,광진구,구의2동
