var2,var,c_al,p_al,c_20,p_20,c_30,p_30,c_67,p_67
const,상수,0.0, ,-0.0, ,0.0, ,0.0, 
var2,사업체수,0.22,+,,,0.257,+,-0.159,+
var3,지가상승률,-0.094,+,,,0.1,+,,
var5,안심귀갓길,0.262,+,0.192,+,0.092,+,-0.164,+
var7,반려동물업,-0.856,+,-0.783,+,,,0.527,+
var13,이용업,0.183,+,,,-0.343,+,,
var14,일반음식점,0.389,+,,,0.226,+,-0.365,+
var16,편의점,0.308,+,0.509,+,,,-0.458,+
var17,쇼핑,0.118,+,,,,,,
var18,대형마트,-0.14,+,-0.089,+,,,0.084,+
var4,노인복지시설,,,-0.15,+,-0.327,+,0.286,+
var6,대학교,,,0.144,+,,,,
var11,약국,,,0.383,+,,,,
var1,금융기관,,,,,0.104,+,,
var10,세탁업,,,,,0.499,+,,
