var,c_al,p_al,c_20,p_20,c_30,p_30,c_67,p_67
const,0.0, ,-0.0, ,0.0, ,0.0, 
금융기관,-0.003, ,-0.101, ,0.116,+,-0.032, 
사업체수,0.214,+,0.058, ,0.276,+,-0.195,+
지가상승률,-0.083, ,-0.068, ,0.108,+,-0.045, 
노인복지시설,0.049, ,-0.135, ,-0.362,+,0.268,+
안심귀갓길,0.264,+,0.176,+,0.087,+,-0.16,+
대학교,0.027, ,0.137,+,-0.057, ,-0.016, 
반려동물업,-0.762,+,-0.786,+,0.055, ,0.502,+
미용업,-0.254, ,0.075, ,0.198, ,-0.01, 
병원,0.06, ,-0.068, ,-0.034, ,0.017, 
세탁업,0.099, ,0.018, ,0.583,+,-0.325, 
약국,-0.066, ,0.371,+,-0.189, ,0.025, 
영화상영관,0.042, ,0.007, ,0.028, ,-0.017, 
이용업,0.168, ,-0.091, ,-0.422,+,0.136, 
일반음식점,0.514,+,0.096, ,0.378,+,-0.404,+
카페,-0.041, ,0.077, ,-0.215, ,0.078, 
편의점,0.265, ,0.387, ,-0.011, ,-0.27, 
쇼핑,0.117,+,0.023, ,0.018, ,-0.015, 
대형마트,-0.134,+,-0.09, ,-0.025, ,0.084, 
