var2,var,coef_solo_all,pvalue_solo_all,coef_solo_20,pvalue_solo_20,coef_solo_30,pvalue_solo_30,coef_solo_60,pvalue_solo_60,coef_solo_70,pvalue_solo_70,coef_solo_67,pvalue_solo_67
const,상수,-0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0
var1,금융기관_근접3,-0.163,0.0,-0.136,0.002,-0.085,0.043,,,-0.208,0.0,-0.112,0.044
var2,사업체합계,0.483,0.0,0.21,0.0,0.527,0.0,0.375,0.0,0.229,0.0,0.28,0.0
var5,노인복지시설 개수,-0.159,0.027,,,-0.262,0.0,,,0.255,0.0,0.229,0.009
var6,안심귀갓길 개수,0.244,0.0,0.286,0.0,0.224,0.0,,,,,,
var7,대학교 개수_근접9,0.107,0.008,0.133,0.002,,,,,0.131,0.004,,
var9,동물병원,-0.272,0.0,,,,,-0.164,0.038,,,,
var10,동물약국,-0.298,0.01,-0.495,0.001,-0.319,0.004,,,0.356,0.001,,
var11,미용업,0.625,0.0,,,0.552,0.0,,,,,,
var20,카페,-0.589,0.0,,,-0.567,0.0,-0.454,0.0,-0.49,0.0,-0.392,0.0
var21,편의점,0.79,0.0,0.626,0.0,0.615,0.0,,,,,,
var4,지가 누계,,,-0.085,0.047,,,,,,,,
var8,동물미용업,,,-0.296,0.0,,,,,,,-0.179,0.044
var14,약국,,,0.291,0.024,,,,,,,,
var13,세탁업,,,,,0.368,0.009,0.312,0.005,,,,
var16,이용업,,,,,-0.414,0.0,0.438,0.0,,,0.288,0.002
var17,일반음식점,,,,,0.288,0.028,,,,,,
var18,제과점영업,,,,,-0.173,0.048,,,,,,
var3,지가 변동률,,,,,,,-0.113,0.011,-0.094,0.048,-0.113,0.015
var12,병원,,,,,,,0.181,0.005,,,0.222,0.001
var19,휴게음식점,,,,,,,-0.186,0.018,,,,
var22,쇼핑_근접9,,,,,,,-0.143,0.001,,,-0.138,0.006
var23,대형마트_근접3,,,,,,,,,0.094,0.039,,
