var,coef_solo_all,pvalue_solo_all,coef_solo_20,pvalue_solo_20,coef_solo_30,pvalue_solo_30,coef_solo_60,pvalue_solo_60,coef_solo_70,pvalue_solo_70,coef_solo_67,pvalue_solo_67
const     ,2768.5942,0.0,1007.29,0.0,294.9325,0.065,369.3556,0.0,553.1184,0.0,922.474,0.0
금융기관_근접3  ,-19.8505,0.027,-12.0491,0.014,-2.7522,0.31,-0.9982,0.27,-2.5072,0.042,-3.5054,0.084
사업체합계     ,0.4156,0.0,0.0883,0.001,0.1531,0.0,0.0298,0.0,0.0276,0.0,0.0574,0.0
지가 변동률    ,-1896.7118,0.076,-78.7657,0.892,-568.06,0.08,-276.198,0.011,-294.9488,0.044,-571.1468,0.018
지가 누계     ,88.855,0.458,-95.4828,0.143,54.2029,0.135,24.6071,0.042,16.8019,0.306,41.409,0.127
노인복지시설 개수 ,-31.3882,0.069,-12.8476,0.171,-20.9284,0.0,1.2634,0.467,7.1458,0.003,8.4092,0.031
안심귀갓길 개수  ,534.5562,0.0,306.9147,0.0,164.8793,0.0,6.144,0.466,-2.3671,0.836,3.777,0.842
대학교 개수_근접9,173.7602,0.018,116.4153,0.004,38.1871,0.084,-2.092,0.776,22.6411,0.024,20.5491,0.213
동물미용업     ,-11.6801,0.646,-25.2769,0.069,10.8419,0.16,-2.1705,0.398,-5.2703,0.131,-7.4408,0.197
동물병원      ,-67.1043,0.113,-19.8504,0.389,-16.9716,0.186,-6.783,0.112,-0.9667,0.868,-7.7497,0.418
동물약국      ,-60.4863,0.015,-44.277,0.001,-19.1133,0.011,1.1298,0.652,5.3967,0.113,6.5264,0.246
미용업       ,7.2032,0.001,2.9815,0.014,2.3232,0.001,0.3689,0.1,0.3037,0.319,0.6726,0.181
병원        ,-31.0357,0.522,-29.27,0.268,-27.042,0.066,11.4173,0.02,12.3548,0.063,23.7722,0.031
세탁업       ,21.8471,0.181,-5.2477,0.555,13.889,0.005,2.0465,0.214,0.3433,0.878,2.3898,0.517
약국        ,22.0078,0.05,16.404,0.007,4.7633,0.16,0.1566,0.89,0.349,0.82,0.5057,0.842
영화상영관     ,16.5111,0.346,5.042,0.597,6.2247,0.24,0.576,0.744,0.5159,0.83,1.0919,0.783
이용업       ,-30.5246,0.066,-15.7162,0.081,-21.9347,0.0,4.6414,0.006,3.0247,0.182,7.6662,0.041
일반음식점     ,0.3697,0.501,0.0417,0.889,0.2767,0.096,-0.0136,0.805,-0.1045,0.165,-0.1181,0.341
제과점영업     ,-25.7036,0.038,-11.2644,0.094,-7.5638,0.044,-1.1421,0.359,1.0303,0.543,-0.1117,0.968
휴게음식점     ,-0.4649,0.867,1.514,0.316,-0.3123,0.71,-0.4057,0.147,-0.2262,0.552,-0.632,0.314
카페        ,-13.3935,0.0,-3.3697,0.095,-4.7565,0.0,-1.0928,0.004,-0.9543,0.06,-2.0471,0.015
편의점       ,37.0543,0.001,25.7308,0.0,11.9172,0.001,-0.4125,0.716,-1.9905,0.196,-2.403,0.344
쇼핑_근접9    ,-19.253,0.279,-0.2759,0.977,-4.0893,0.447,-3.429,0.056,-4.1459,0.089,-7.5748,0.06
대형마트_근접3  ,-56.3595,0.695,-105.696,0.177,-28.5725,0.511,15.0999,0.297,34.3673,0.081,49.4672,0.128
