var,coef_solo_all,pvalue_solo_all,coef_solo_20,pvalue_solo_20,coef_solo_30,pvalue_solo_30,coef_solo_60,pvalue_solo_60,coef_solo_70,pvalue_solo_70,coef_solo_67,pvalue_solo_67
const     ,3112.5661,0.0,0.1665,0.0,0.1176,0.0,0.0966,0.0,0.1422,0.0,0.1194,0.0
금융기관_근접3  ,-18.9866,0.031,0.0009,0.063,0.0025,0.0,0.0014,0.0,0.0008,0.007,0.0011,0.0
사업체합계     ,0.4159,0.0,-7.082e-06,0.007,-3.569e-06,0.125,-4.183e-06,0.003,-9.459e-06,0.0,-6.821e-06,0.0
지가 변동률    ,-1868.4243,0.083,0.1087,0.071,0.073,0.172,0.047,0.141,0.0652,0.074,0.0561,0.078
지가 누계     ,45.6829,0.703,-0.0193,0.004,-0.0092,0.123,-0.0081,0.023,-0.0083,0.042,-0.0082,0.021
노인복지시설 개수 ,-33.3002,0.054,0.001,0.294,0.0007,0.436,0.0017,0.001,0.0019,0.001,0.0018,0.0
안심귀갓길 개수  ,509.6152,0.0,0.0072,0.123,0.0005,0.899,-0.0049,0.046,-0.0069,0.015,-0.0059,0.017
대학교 개수_근접3,232.3673,0.148,0.0161,0.073,-0.0043,0.592,-0.0038,0.42,0.0025,0.642,-0.0007,0.889
동물미용업     ,-11.8542,0.632,-0.0004,0.791,0.0016,0.183,0.0003,0.695,0.0005,0.543,0.0004,0.585
동물병원      ,-92.2673,0.027,-0.0041,0.081,-0.003,0.14,-0.0015,0.239,0.0003,0.85,-0.0006,0.629
동물약국      ,-73.0119,0.003,-0.0035,0.01,-0.0027,0.027,-0.0002,0.768,0.0009,0.282,0.0003,0.64
미용업       ,5.9223,0.005,-0.0003,0.006,-0.0002,0.018,-0.0002,0.01,-0.0002,0.006,-0.0002,0.004
병원        ,-7.768,0.869,-0.0002,0.93,-0.0001,0.965,0.0002,0.914,-0.0011,0.497,-0.0005,0.738
세탁업       ,25.2896,0.113,-0.0004,0.625,0.0004,0.658,-0.0007,0.124,-0.001,0.057,-0.0009,0.062
약국        ,18.4388,0.081,0.0001,0.81,-0.0007,0.216,-0.0004,0.17,-0.0003,0.453,-0.0003,0.262
영화상영관     ,10.299,0.547,-0.0002,0.817,-0.0008,0.318,-0.0007,0.182,-0.0006,0.332,-0.0006,0.22
이용업       ,-21.7959,0.186,0.0017,0.066,0.0015,0.07,0.0021,0.0,0.001,0.067,0.0016,0.001
일반음식점     ,0.3267,0.535,5.612e-05,0.057,4.905e-05,0.062,-6.594e-07,0.966,5.48e-06,0.759,2.41e-06,0.877
카페        ,-14.1943,0.0,0.0008,0.0,0.0007,0.0,0.0004,0.001,0.0004,0.003,0.0004,0.001
편의점       ,36.5762,0.001,-0.0004,0.527,-0.001,0.076,-0.0005,0.118,-0.0007,0.059,-0.0006,0.062
쇼핑_근접5    ,-58.9346,0.024,0.0085,0.0,0.0078,0.0,0.0037,0.0,0.0027,0.002,0.0032,0.0
대형마트_근접3  ,-19.9242,0.891,-0.0341,0.0,-0.0287,0.0,-0.0173,0.0,-0.0095,0.056,-0.0134,0.002
