var2,var,c_al,p_al,c_20,p_20,c_30,p_30,c_60,p_60,c_70,p_70,c_67,p_67
Intercept,상수,0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, 
var2,사업체수,0.218,+,0.062, ,0.273,+,-0.16,+,-0.198,+,-0.203,+
var5,안심귀갓길,0.265,+,0.179,+,0.085,+,-0.155,+,-0.144,+,-0.163,+
var17,쇼핑,0.114,+,,,,,,,,,,
var18,대형마트,-0.142,+,-0.092,+,,,,,0.106,+,0.096,+
var7,반려동물업,-0.752,+,-0.817,+,,,0.255,+,0.627,+,0.564,+
var14,일반음식점,0.475,+,,,0.392,+,-0.363,+,-0.316,+,-0.33,+
var10,세탁업,0.113, ,,,0.567,+,-0.334,+,-0.318, ,-0.306, 
var3,지가 변동률,-0.101,+,-0.072, ,0.108,+,,,,,,
var13,이용업,0.17, ,,,-0.415,+,0.418,+,,,,
var16,편의점,0.253, ,0.393,+,,,-0.123, ,-0.252, ,-0.236, 
var8,미용업,-0.231, ,,,0.213, ,,,,,,
var6,대학교,,,0.137,+,-0.062, ,-0.091,+,,,,
var11,약국,,,0.37,+,-0.185, ,-0.179, ,,,,
var15,카페,,,0.162, ,-0.206, ,,,,,,
var1,금융기관,,,-0.088, ,0.117,+,,,-0.06, ,-0.056, 
var4,노인복지시설,,,-0.139, ,-0.363,+,0.242,+,0.233,+,0.307,+
var9,병원,,,,,,,0.129, ,,,,
