var,c_al,p_al,c_20,p_20,c_30,p_30,c_60,p_60,c_70,p_70,c_67,p_67
const,0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, 
금융기관,-0.003, ,-0.102, ,0.112,+,0.022, ,-0.056, ,-0.031, 
사업체수,0.215,+,0.058, ,0.274,+,-0.157,+,-0.195,+,-0.195,+
지가 변동률,-0.084,+,-0.069, ,0.106,+,-0.03, ,-0.045, ,-0.043, 
노인복지시설,0.06, ,-0.132, ,-0.366,+,0.227,+,0.264,+,0.268,+
안심귀갓길,0.265,+,0.175,+,0.087,+,-0.156,+,-0.146,+,-0.16,+
대학교,0.028, ,0.142,+,-0.062, ,-0.087, ,0.022, ,-0.017, 
반려동물업,-0.758,+,-0.785,+,0.058, ,0.274, ,0.577,+,0.503,+
미용업,-0.267, ,0.071, ,0.191, ,-0.026, ,0.001, ,-0.009, 
병원,0.062, ,-0.068, ,-0.032, ,0.124, ,-0.043, ,0.016, 
세탁업,0.109, ,0.022, ,0.585,+,-0.335, ,-0.283, ,-0.322, 
약국,-0.074, ,0.366,+,-0.192, ,-0.153, ,0.118, ,0.025, 
영화상영관,0.042, ,0.007, ,0.029, ,-0.035, ,-0.006, ,-0.017, 
이용업,0.16, ,-0.092, ,-0.422,+,0.406,+,-0.022, ,0.137, 
일반음식점,0.507,+,0.091, ,0.386,+,-0.285, ,-0.426,+,-0.403,+
카페,-0.026, ,0.082, ,-0.21, ,-0.068, ,0.149, ,0.078, 
편의점,0.261, ,0.388,+,-0.016, ,-0.105, ,-0.341, ,-0.276, 
쇼핑,0.119,+,0.026, ,0.017, ,-0.028, ,-0.004, ,-0.013, 
대형마트,-0.135,+,-0.09, ,-0.025, ,0.033, ,0.103,+,0.084, 
