var,coef_solo_30_ols,pvalue_solo_30_ols,coef_solo_30_fwd,pvalue_solo_30_fwd,coef_solo_30,pvalue_solo_30
사업체합계,0.539,0.0,0.538,0.0,0.527,0.0
노인복지시설 개수,-0.315,0.0,-0.273,0.0,-0.262,0.0
안심귀갓길 개수,0.228,0.0,0.228,0.0,0.224,0.0
미용업,0.601,0.001,0.652,0.0,0.552,0.0
이용업,-0.425,0.0,-0.423,0.0,-0.414,0.0
카페,-0.577,0.0,-0.626,0.0,-0.567,0.0
편의점,0.571,0.001,0.654,0.0,0.615,0.0
세탁업,0.428,0.005,0.387,0.006,0.368,0.009
제과점영업,-0.212,0.044,-0.217,0.017,-0.173,0.048
동물약국,-0.345,0.011,-0.264,0.02,-0.319,0.004
대학교 개수_근접9,0.066,0.084,0.073,0.045,,
일반음식점,0.239,0.096,0.245,0.061,0.288,0.028
금융기관_근접3,-0.05,0.31,-0.074,0.083,-0.085,0.043
병원,-0.113,0.066,-0.099,0.092,,
영화상영관,0.053,0.24,0.065,0.135,,
상수,0.0,1.0,0.0,1.0,0.0,1.0
지가 변동률,-0.089,0.08,,,,
지가 누계,0.071,0.135,,,,
동물미용업,0.147,0.16,,,,
동물병원,-0.12,0.186,,,,
약국,0.174,0.16,,,,
휴게음식점,-0.033,0.71,,,,
쇼핑_근접9,-0.033,0.447,,,,
대형마트_근접3,-0.024,0.511,,,,
