var,c_30_ols,p_30_ols,c_30_fwd,p_30_fwd,c_30,p_30
이용업,-0.422,+,-0.415,+,-0.342,+
노인복지시설,-0.366,+,-0.363,+,-0.331,+
카페,-0.21, ,-0.206, ,,
약국,-0.192, ,-0.185, ,,
대학교,-0.062, ,-0.062, ,,
상수,-0.0, ,-0.0, ,-0.0, 
안심귀갓길,0.087,+,0.085,+,0.092,+
지가 변동률,0.106,+,0.108,+,0.099,+
금융기관,0.112,+,0.117,+,0.099,+
미용업,0.191, ,0.213, ,,
사업체수,0.274,+,0.273,+,0.255,+
일반음식점,0.386,+,0.392,+,0.23,+
세탁업,0.585,+,0.567,+,0.498,+
반려동물업,0.058, ,,,,
병원,-0.032, ,,,,
영화상영관,0.029, ,,,,
편의점,-0.016, ,,,,
쇼핑,0.017, ,,,,
대형마트,-0.025, ,,,,
