var,coef_solo_all_ols,pvalue_solo_all_ols,coef_solo_all_fwd,pvalue_solo_all_fwd,coef_solo_all,pvalue_solo_all
사업체합계,0.486,0.0,0.502,0.0,0.483,0.0
안심귀갓길 개수,0.246,0.0,0.243,0.0,0.244,0.0
미용업,0.619,0.001,0.672,0.0,0.625,0.0
카페,-0.54,0.0,-0.511,0.0,-0.589,0.0
편의점,0.59,0.001,0.609,0.0,0.79,0.0
금융기관_근접3,-0.12,0.027,-0.146,0.001,-0.163,0.0
동물약국,-0.362,0.015,-0.394,0.004,-0.298,0.01
동물병원,-0.157,0.113,-0.217,0.006,-0.272,0.0
대학교 개수_근접9,0.099,0.018,0.102,0.01,0.107,0.008
노인복지시설 개수,-0.157,0.069,-0.179,0.023,-0.159,0.027
제과점영업,-0.239,0.038,-0.206,0.04,,
약국,0.267,0.05,0.259,0.041,,
이용업,-0.197,0.066,-0.165,0.089,,
지가 변동률,-0.098,0.076,-0.071,0.099,,
세탁업,0.223,0.181,0.209,0.183,,
상수,-0.0,1.0,-0.0,1.0,-0.0,1.0
지가 누계,0.038,0.458,,,,
동물미용업,-0.053,0.646,,,,
병원,-0.043,0.522,,,,
영화상영관,0.046,0.346,,,,
일반음식점,0.106,0.501,,,,
휴게음식점,-0.016,0.867,,,,
쇼핑_근접9,-0.051,0.279,,,,
대형마트_근접3,-0.016,0.695,,,,
