var,c_al_ols,p_al_ols,c_al_fwd,p_al_fwd,c_al,p_al
반려동물업,-0.758,+,-0.752,+,-0.855,+
미용업,-0.267, ,-0.231, ,,
대형마트,-0.135,+,-0.142,+,-0.141,+
지가 변동률,-0.084,+,-0.101,+,-0.097,+
상수,0.0, ,0.0, ,0.0, 
세탁업,0.109, ,0.113, ,,
쇼핑,0.119,+,0.114,+,0.12,+
이용업,0.16, ,0.17, ,0.178,+
사업체수,0.215,+,0.218,+,0.221,+
편의점,0.261, ,0.253, ,0.316,+
안심귀갓길,0.265,+,0.265,+,0.262,+
일반음식점,0.507,+,0.475,+,0.382,+
금융기관,-0.003, ,,,,
노인복지시설,0.06, ,,,,
대학교,0.028, ,,,,
병원,0.062, ,,,,
약국,-0.074, ,,,,
영화상영관,0.042, ,,,,
카페,-0.026, ,,,,
